﻿R10136-0_1_1,"I'm a person of ill omen, you'd better stay away from me.",ข้าคือผู้ที่จะนำโชคร้ายมาให้ เจ้าควรอยู่ให้ห่างจากข้าจะดีกว่า
R10136-1_2_12,"Hmm, I, the Special Envoy, will trust you this time.\nLet's continue with this play. Let's finish it early so as not to delay my official duties.","อืม ข้าจะเชื่อท่านสักครั้ง!\nรีบดำเนินการประหารนี่อย่าล่าช้า อย่าให้ข้าต้องเสียเวลาอันมีค่าของข้า!"
R10136-1_2_13,"Yes, Special Envoy.",ขอรับ ท่านทูตพิเศษ!
R10136-1_2_14,"{yell}{shichen} has arrived, the entire family of the criminal Ji Hanqing has been verified to be the real culprits, and the execution can proceed!",{yell} ได้เวลาแล้ว! ขุนนางผู้กระทำผิด จี้ฮั่นชิงและตระกูล ตรวจสอบแล้วว่าเป็นตัวจริง สามารถลงดาบประหารชีวิตได้ทันที!
R10136-1_2_15,"With the Execution Officer's command, more than a dozen steel knives fell sharply, and immediately more than a dozen bodies fell into the pool of blood.\nThere were those among the audience who applauded, those who covered their faces in horror, and those who were indifferent.\nAnd you, experiencing such a bloody scene for the first time, were shocked, feeling a blank in your mind.\nBy the time you came back to your senses, the execution ground had already been cleared, and the spectators had gradually dispersed, as if nothing had happened.","เมื่อคำสั่งจากเจ้าหน้าที่คุมการประหารดังขึ้น ดาบเหล็กกว่าสิบเล่มฟาดลงพร้อมกัน ร่างกายกว่าสิบร่างล้มลงในแอ่งเลือดทันที\nฝูงชนที่เฝ้าดูเหตุการณ์ บางคนปรบมือยินดี บางคนปิดหน้าด้วยความหวาดกลัว และบางคนก็นิ่งเฉยเหมือนไร้ความรู้สึก\nสำหรับเจ้า นี่คือครั้งแรกที่ได้เห็นฉากอันโหดเหี้ยมเช่นนี้ จิตใจเต็มไปด้วยความสั่นสะท้าน รู้สึกเหมือนสมองว่างเปล่า\nเมื่อเจ้าคืนสติกลับมา ลานประหารก็ถูกเก็บกวาดจนสะอาด ฝูงชนที่มุงดูต่างทยอยจากไป ราวกับไม่มีอะไรเกิดขึ้นมาก่อน"
R10136-1_2_16,"A prince and a foreign prince accompanying the execution, no matter how you think about it, it feels strange. Especially the Execution Officer in the middle with a cunning face, this matter is definitely not ordinary.",ท่านอ๋องและองค์ชายต่างแคว้น ต่างอยู่ร่วมกันในพิธีประหารครั้งนี้ สถานการณ์เช่นนี้ดูยังไงก็แฝงไปด้วยความรู้สึกแปลกๆ โดยเฉพาะเจ้าหน้าที่คุมการประหารที่อยู่ตรงกลางนั้น ใบหน้าของเขาเต็มไปด้วยความเจ้าเล่ห์ เรื่องนี้จะต้องไม่ธรรมดาเป็นแน่!
R10136-1_2_17,"Go to the city where people gather to find out the news, maybe you can find out the truth about this matter.",เข้าเมืองไปยังจุดที่ผู้คนพลุกพล่าน สืบหาข่าวคราวดู บางทีอาจจะได้ความจริงเกี่ยวกับเรื่องราวในครั้งนี้ก็เป็นได้!
R10136-1_3_1,{shichen} has arrived...,ได้เวลาแล้ว...
R10136-1_3_2,{yell}Hold on!,{yell}ช้าก่อน!
R10136-1_3_3,"How dare you, who is making noise here!",บังอาจ! ใครกันกล้าตะโกนโวยวายทำเสียงดังที่นี่!
R10136-1_3_4,"Who is this person?|He's got guts, daring to speak up at this time.|Stay away from this idiot.|There's going to be a good show~",คนผู้นี้เป็นใครกัน?|ช่างกล้าหาญนัก กล้าพูดขัดในเวลานี้|อยู่ห่างๆ เจ้าคนบ้าคนนี้เถอะ|คงได้ดูเรื่องสนุกแล้ว~
R10136-1_3_5,The young man is quite handsome.,คุณชายท่านนี้หน้าตาก็ไม่เลวนะ
R10136-1_3_6,"Disturbing the execution ground is a capital offense, don't waste your life at such a young age!",ขัดขวางการประหารถือเป็นโทษสถานหนัก เจ้ายังอายุน้อยนัก อย่าเอาชีวิตไปทิ้งเสียเปล่า!
R10136-1_3_7,I can't stand by and watch as you take the lives of more than a dozen people based on your own words. I plan to intervene!,จะให้ข้านิ่งเฉย เห็นคนสิบกว่าชีวิตต้องตายเพราะคำพูดลอยๆ ของเจ้าได้อย่างไร! ข้าไม่อาจทนดูได้ ข้าคงต้องเข้าไปยุ่งให้ถึงที่สุด!
R10136-1_3_8,"{yell}Guards, arrest this remnant of the Ji family and execute him today!",{yell} ทหาร! จับตัวพวกเศษซากตระกูลจี้มาให้หมด วันนี้ข้าจะจัดการพวกมันให้สิ้นซาก!
R10136-1_3_9,Yes!,ขอรับ!
R10136-1_4_1,Aren't you going to let them go? You think a few rotten shrimps can stop me?,พวกเจ้ายังไม่ปล่อยตัวนักโทษอีกหรือ? แค่พวกเศษสวะไม่กี่คน อย่าคิดจะมาขัดขวางข้าได้?
R10136-1_4_2,"Special Envoy, you're brilliant! The strategy of inviting the enemy into the pot is indeed a stroke of genius!",ท่านทูตพิเศษ วางแผนได้ยอดเยี่ยมยิ่งนัก! แผนล่อเสือเข้ากรงนี้ ช่างแยบยลจริงๆ!
R10136-1_4_3,What are you playing at?,พวกเจ้ากำลังเล่นตลกอะไรกัน?
R10136-1_4_4,"Hehe, boy, this play is just to catch you, the big fish!","ฮี่ฮี่ เจ้าหนู, ละครฉากนี้แท้จริงแล้วทำขึ้นตบตา เพื่อหลอกล่อปลาใหญ่เช่นเจ้ายังไงเล่า!"
R10136-1_4_5,I've been tricked!,ข้าติดกับเสียแล้ว!
R10136-1_4_6,"Fool, you've ruined my plan!",เจ้าคนโง่! ทำแผนข้าพังพินาศหมด!
R10136-1_4_7,"{yell}Guards, kill this thief without mercy!",{yell} ทหาร! สังหารโจรชั่วผู้นี้เสีย อย่าให้มันรอดไปได้!
R10136-1_5_1,"So it turns out that the Prisoner was just pretending, and I was worried for nothing.\nSince it's all a misunderstanding, I'll take my leave now, goodbye~","ที่แท้ นักโทษพวกนั้นก็เป็นตัวปลอมด้วย ทำเอาข้าเป็นห่วงไปเสียเปล่า!\nในเมื่อเป็นเรื่องเข้าใจผิด ข้าก็ไม่ขออยู่ต่อแล้ว ลาก่อน~"
R10136-1_5_2,"Come and go as you please, you're too arrogant!",คิดจะมาก็มา คิดจะไปก็ไป เจ้าช่างโอหังเกินไปแล้ว!
R10136-1_5_3,"Hmph, even the king can't stop me!",ฮึ! ต่อให้เป็นฮ่องเต้ก็รั้งข้าไว้ไม่ได้!
R10136-1_6_1,"Publicly disrupting the execution ground and then leaving calmly, coming and going like the wind, even the heroes in the storybooks are no more than this!",กล้าขัดขวางการประหาร จากนั้นกลับจากไปอย่างสงบราวกับสายลมพัดผ่าน ช่างเหมือนวีรบุรุษในนิทานเสียจริง!
R10136-1_6_2,"The people of Daliang City will surely regard me as a great hero, a great knight-errant, perhaps the storytellers will turn my deeds into a storybook and spread it everywhere.",ชาวเมืองต้าเหลียงคงจะมองข้าเป็นจอมยุทธ์ผู้ยิ่งใหญ่ หรือเป็นปรมาจารย์ยอดยุทธ์ บางทีนักเล่านิทานอาจจะนำเรื่องราวของข้า ไปเล่าเป็นนิทานไปทั่วทุกแห่งหนแล้วก็เป็นได้
R10136-1_6_3,Why not go into the city where people gather and find out how they are discussing my heroic act.,งั้นเข้าเมืองไปยังสถานที่ที่มีผู้คนพลุกพล่านดีกว่า ลองไปฟังดูว่าผู้คนพูดถึงวีรกรรมครั้งนี้ของข้าไว้อย่างไร!
R10136-2_1_1,"This surname Ji's imperial censor actually dares to openly impeach Duke Qi for colluding with Yan Kingdom, it's really like using an egg to hit a rock.",เสนาบดีแซ่จี้คนนั้น ถึงกับกล้าเปิดโปง กล่าวหาท่านอ๋องฉีสมคบคิดกับแคว้นเยี่ยน นี่มันเหมือนเอาไข่ไปกระทบหินจริงๆ
R10136-2_1_2,"Everyone knows what's going on, why bother to point it out and ask for trouble.",เรื่องที่ทุกคนก็รู้กันดีอยู่แล้ว ทำไมต้องออกมาพูดให้ตัวเองเดือดร้อนกัน?
R10136-2_1_3,"Now Daliang City is under the jurisdiction of Duke Qi, and he also has the duty of supervising the country, dealing with a small imperial censor is easy.",ตอนนี้เมืองต้าเหลียงอยู่ภายใต้การปกครองของอ๋องฉี ไหนจะตำแหน่งผู้สำเร็จราชการอีก จัดการขุนนางตัวเล็กๆ สักคน ไม่ใช่เรื่องยากเลย
R10136-2_1_4,"But no matter how big Duke Qi is, he has to show limited comity in front of the Special Envoy of Yan Kingdom.\nIt is said that the crime of extermination of the Ji family was determined by the Special Envoy of Yan Kingdom, and it cannot be changed.","แต่ถึงอ๋องฉีจะยิ่งใหญ่เพียงใด ต่อหน้าทูตพิเศษแคว้นเยี่ยน เขากลับต้องยอมถอย\nได้ยินมาว่า โทษประหารล้างตระกูลจี้ ก็เป็นคำสั่งของทูตพิเศษแคว้นเยี่ยนเช่นกัน เป็นเรื่องที่ไม่อาจแก้ไขได้"
R10136-2_1_5,"I didn't expect the Special Envoy of Yan Kingdom to be so arrogant, even interfering in the politics of my country, are the princes and officials of our country just eating for nothing?",คิดไม่ถึงเลยว่าทูตแคว้นเยี่ยนจะหยิ่งยโสถึงเพียงนี้ ถึงขนาดเหิมเกริมเข้าแทรกแซงกิจการบ้านเมืองของเรา พวกอ๋องหรือขุนนางบ้านเรากินกันแต่ข้าวเปล่าๆ รึยังไง?
R10136-2_1_6,"Didn't you see? That Execution Officer is just like a servant of the Special Envoy's family, eager to please his master in different ways, he doesn't care about anything else.",เจ้าไม่เห็นหรือ? เจ้าหน้าที่คุมการประหารคนนั้น ก็เหมือนข้ารับใช้ของทูตพิเศษแคว้นเยี่ยน อยากจะทำทุกอย่างเพื่อเอาใจเจ้านายตัวเอง จนไม่มีความละอายใจเลยสักนิด 
R10136-2_1_7,"Hmph, it would be good if this kind of scum gets retribution sooner, so as not to harm us common people.",ฮึ พวกสวะพวกนี้สมควรได้รับผลกรรมไปเสียเร็วๆ จะได้เลิกสร้างความเดือดร้อนให้พวกเราชาวบ้าน
R10136-2_1_8,"Didn't you hear? Since this Execution Officer handled the case of Ji's imperial censor, the Government Office has been haunted every day. Some people have seen a white-clothed female ghost wandering near the Government Office at <color=#c44b0e>Zi Shi</color>, it must be the Ji family coming to Suo Ming.",เจ้ามิได้ยินข่าวลือหรือ? ตั้งแต่เจ้าหน้าที่คุมการประหารคนนี้ตัดสินคดีของจี้ฮั่นชิง ที่ศาลาว่าการก็มีวิญญาณอาฆาตมาหลอกหลอนทุกคืน มีคนเห็นวิญญาณสตรีชุดขาวเดินวนเวียนใกล้ศาลาว่าการตอน <color=#c44b0e>ยามจื่อ</color> บางทีอาจเป็นผีวิญญาณตระกูลจี้ที่มาทวงชีวิตก็เป็นได้
R10136-2_1_9,"Yikes, it's creepy, stop talking...",อุ๊ย น่ากลัวชะมัด เลิกพูดเถอะ...
R10136-2_2_1,It seems they can't say anything useful...,ดูท่าว่าพวกนี้คงไม่มีข่าวอะไรที่เป็นประโยชน์แล้ว...
R10136-2_2_2,"But, Government Office...Zi Shi...white-clothed female ghost, it's interesting.\nWhether it's related to the Ji family or not, I'll take the opportunity to investigate.","แต่ ศาลาว่าการ... ยามจื่อ... วิญญาณสตรีชุดขาว... ชักน่าสนใจแล้วสิ\nไม่ว่ามันจะเกี่ยวข้องกับตระกูลจี้หรือไม่ ข้าต้องหาโอกาสไปสืบมาให้จงได้"
R10136-2_3_1,"No one is discussing my affairs, are they all blind? Can't they see my heroic spirit on the execution ground?",ไม่มีใครพูดถึงเรื่องของข้าเลยหรือ? พวกนี้ตาบอดกันหมดแล้วหรือไร ไม่เห็นหรือว่าข้ากล้าหาญแค่ไหนในลานประหาร!
R10136-2_3_2,"Have you heard? There was a foolish young man who thought he could raid the execution ground, but he fell into the trap of the government and almost lost his life.",พวกเจ้ารู้หรือไม่ มีเด็กหนุ่มโง่ๆ คนหนึ่งคิดว่าเป็นจอมยุทธ์ ไปช่วยคนในลานประหาร สุดท้ายก็ถูกหลอกเกือบเอาชีวิตไปทิ้ง
R10136-2_3_3,"Young people are just young people, they think they are something after listening to a few days of storybook stories, they don't respect the royal power and laws, this is simply seeking death.",หนุ่มสาวก็เป็นแบบนี้เอง ฟังเรื่องเล่ามาไม่กี่วันก็คิดว่าตัวเองยิ่งใหญ่ ไม่สนใจทั้งกฎหมายบ้านเมือง ช่างแส่หาเรื่องตายจริงๆ
R10136-2_3_4,Did you notice? Doesn't this young man next to us look like that fool who raided the execution ground?,พวกเจ้าเห็นหรือไม่ ว่าเจ้าหนุ่มที่ยืนอยู่ตรงนี้เหมือนคนที่ไปก่อเรื่องในลานประหารไหม?
R10136-2_3_5,"Hmm, he does look a bit like him.",อืม ก็คล้ายอยู่นะ
R10136-2_3_6,He looks exactly the same.,เหมือนกันราวกับแกะ
R10136-2_3_7,"Why don't we report him to the authorities, maybe we can get a reward...",ว่าแต่เราแจ้งทางการดีไหม? บางทีอาจได้ส่วนแบ่งเงินรางวัลด้วย...
R10136-2_3_8,"I was almost sold out by these people, it's really hard to guard against the evil of human nature.",ข้าเกือบโดนคนพวกนี้จับตัวไปขายให้ทางการแล้ว ใจคนเรานี่ช่างร้ายเสียจริงๆ ไม่มีทางป้องกันได้เลย
R10136-2_3_9,It seems they can't provide any reliable information...,ดูเหมือนว่าพวกนี้คงไม่มีข้อมูลอะไรที่เชื่อถือได้...
R10136-2_3_10,"But, Government Office...Zi Shi...white-clothed female ghost, it's interesting.\nWhether it's related to the Ji family or not, I'll take the opportunity to investigate.","แต่ ศาลาว่าการ... ยามจื่อ... วิญญาณสตรีชุดขาว... ชักน่าสนใจแล้วสิ\nไม่ว่ามันจะเกี่ยวข้องกับตระกูลจี้หรือไม่ ข้าต้องหาโอกาสไปสืบมาให้จงได้"
R10136-3_1_1,"Now it's Zi Shi, according to the information I've gathered, the white-clothed female ghost appears near the Government Office at this time, should I go now?",ยามนี้คือยามจื่อ ตามข่าวที่ได้มา วิญญาณสตรีชุดขาวจะปรากฏตัวที่ศาลาว่าการในเวลานี้ ข้าควรจะเข้าไปเดี๋ยวนี้เลยหรือไม่?
R10136-3_2_1,"This is not a white-clothed female ghost, it's clearly a white-clothed female knight who is good at Qinggong.",นี่มิใช่สตรีชุดขาวที่เป็นวิญญาณ แต่เป็นจอมยุทธ์หญิงชุดขาวที่วิชาตัวเบาเป็นเลิศชัดๆ
R10136-3_2_2,"Whether it's a female ghost or a female knight, it seems she's here to seek revenge on the officials here, I'll lend her a hand.",ไม่ว่าจะเป็นผีสาวหรือจอมยุทธ์หญิง ดูเหมือนว่านางจะมาที่นี่เพื่อแก้เค้นเจ้าหน้าที่ทางการ ข้าควรจะยื่นมือเข้าช่วยเหลือนาง
R10136-3_2_3,Are you here to stop me?,เจ้ามาเพื่อหยุดข้างั้นหรือ?
R10136-3_2_4,"No, I'm here to help you.",มิใช่ ข้ามาเพื่อช่วยเจ้า
R10136-3_2_5,"This is my business, it has nothing to do with you!",นี่เป็นเรื่องของข้า ไม่เกี่ยวข้องกับเจ้า!
R10136-3_2_6,"If you're looking for trouble with that sharp-mouthed monkey-cheeked Official, count me in. Acting for the heavens and eliminating harm for the people is the duty of a hero.",หากแม่นางจะลงมือกับเจ้าหน้าที่ปากแหลมหน้าลิงผู้นั้นล่ะก็ ให้นับรวมข้าไปด้วย รักษาความยุติธรรม ขจัดภัยต่อปวงประชา ถือเป็นหน้าที่ของจอมยุทธ์
R10136-3_2_7,"Don't mess up my business.\nLeave quickly, or don't blame me for being rude!","อย่ามาเกะกะข้า\nรีบไปซะ มิเช่นนั้นอย่าหาว่าข้าหยาบคาย!"
R10136-3_2_8,"Hahaha, neither of you can escape!",ฮ่าฮ่าฮ่า พวกเจ้าทั้งคู่ไม่มีผู้ใดหนีไปได้หรอก!
R10136-3_2_9,"In order to catch you remnants of the Ji family, I risked my life. Today, my great task is finally accomplished!",เพื่อที่จะจับกุมพวกเหลือรอดอยู่ของตระกูลจี้ ข้าถึงกับต้องเอาชีวิตเข้ามาเสี่ยง วันนี้ภารกิจของข้าจะได้บรรลุเสียที!
R10136-3_2_10,It seems you've already seen through my tracks!,ดูเหมือนเจ้าจะพบร่องรอยของข้าอยู่แล้วสินะ!
R10136-3_2_11,"At first, I thought it was a female ghost causing trouble. But after posting a series of talismans at the Government Office, I found nothing unusual. According to the Special Envoy, the so-called white-clothed female ghost is just a trick played by you Vagabonds.",ตอนแรก ข้าก็นึกว่าเป็นวิญญาณสตรีมารังควานจริงๆ แต่พอเอาเครื่องรางไปติดไว้ที่ศาลาว่าการ ก็ไม่พบอะไรผิดปกติ พอได้คำชี้แนะจากท่านฑูตพิเศษ ก็ได้รู้ว่าวิญญาณสตรีชุดขาว ก็แค่กลอุบายของพวกจอมยุทธ์เร่ร่อนเท่านั้น
R10136-3_2_12,It's my great fortune to be favored by the Special Envoy in this life!,การได้รับความโปรดปรานจากท่านฑูตพิเศษ เป็นโชคดีอย่างยิ่งในชีวิตของข้าแล้ว!
R10136-3_2_13,You're a shameless person.,เจ้าคนไร้ยางอาย
R10136-3_2_14,"Capture this woman alive. As for the boy next to her, there's no use keeping him. Kill him on the spot.",จับเป็นสตรีผู้นี้ไว้ ส่วนเจ้าหนุ่มข้างๆ นั่นเก็บเอาไว้ก็ไม่มีประโยชน์ ฆ่ามันทิ้งซะ
R10136-3_2_15,"Yes, sir!",ขอรับ!
R10136-3_2_16,What do you mean there's no use keeping him? Who are you belittling!,หมายความว่าอย่างไรที่เก็บข้าไว้ก็ไม่มีประโยชน์? ไม่รู้เสียแล้วว่ากำลังดูถูกใครอยู่!
R10136-3_3_1,"You're disrespectful. Today, your karma has come!",เจ้าคนชั่ว วันนี้กรรมสนองเจ้าแล้ว!
R10136-3_3_2,"Hmph, I'll see how long you can hold on.",เฮอะ ข้าอยากรู้จริงๆ ว่าพวกเจ้าจะทนได้ถึงเมื่อไหร่
R10136-3_3_3,Itchy!,โอ๊ย คัน!
R10136-3_3_4,So itchy!,คันเหลือเกิน!
R10136-3_3_5,What is this?,นี่มันอะไรกันเนี่ย?
R10136-3_3_6,"Ah, witchcraft!",อ๊าก นางใช้มนต์ดำ!
R10136-3_3_7,Let's go!,ไปเร็ว!
R10136-3_3_8,"This woman's Qinggong is really good, she left the city in the blink of an eye. I should follow her.",วิชาตัวเบาของนางยอดเยี่ยมนัก พริบตาเดียวนางก็ออกจากเมืองไปแล้ว ข้าต้องตามนางไปให้ได้
R10136-3_4_1,The place that woman just went to seems to be the Outskirts. I should follow her.,สถานที่ที่แม่นางผู้นั้นมุ่งหน้าไปดูเหมือนจะเป็นพื้นที่รกร้างนอกเมือง ข้าควรตามนางไป
R10136-4_1_1,"I don't know why there are so many wild graves here, they look like new graves...",ข้าไม่รู้ว่าเหตุใดจึงมีหลุมศพมากมายในป่านี้ เหมือนจะเป็นหลุมศพที่เพิ่งฝังมาไม่นานด้วย...
R10136-4_1_2,"Father, I failed again...\nI couldn't kill my enemy, I'm useless...","ท่านพ่อ ข้าล้มเหลวอีกแล้ว...\nข้าไม่สามารถสังหารศัตรูได้ ข้ามันไม่เอาไหน..."
R10136-4_1_3,"Miss, we meet again.\nMiss, can you tell me who is buried here?","แม่นาง เราพบกันอีกแล้ว\nแม่นางบอกข้าได้ไหมว่าผู้ใดถูกฝังอยู่ที่นี่?"
R10136-4_1_4,This is the grave of more than ten members of the Ji family.,ที่นี่เป็นหลุมศพของตระกูลจี้กว่าสิบชีวิต
R10136-4_2_1,Weren't those who were to be executed outside Da Liang City impersonated by Bailiffs? How could their graves be here?,ผู้ที่ถูกประหารหน้าเมืองต้าเหลียง ไม่ใช่พวกเจ้าหน้าที่ปลอมตัวมาหรอกหรือ? ทำไมจึงมีหลุมศพของพวกเขาที่นี่ได้?
R10136-4_2_2,The more than ten members of the Ji family were secretly executed long ago. I set up this grave here so that their souls have a place to rest.,สมาชิกตระกูลจี้กว่าสิบชีวิตได้ถูกประหารอย่างลับๆ มานานแล้ว ข้าสร้างหลุมศพขึ้นที่นี่เพื่อให้วิญญาณของพวกเขาได้มีที่พักผ่อน
R10136-4_2_3,"What kind of deep hatred is this, not only secretly executing them, but also setting up a trap to catch them all. This is clearly a complete extermination.",ความจงเกลียดจงชังนี้มันอะไรกัน ไม่เพียงแต่การประหารชีวิตพวกเขาอย่างลับๆเท่านั้น แต่ยังวางกับดักเพื่อจับคนที่เหลือรอดทั้งหมดอีกด้วย นี่มันเป็นการฆ่าล้างตระกูลชัดๆ
R10136-4_2_4,"Young hero, why did you intervene in the execution ground when you have nothing to do with the Ji family?",จอมยุทธ์น้อย เหตุใดเจ้าจึงไปแทรกแซงที่ลานประหารล่ะ เจ้ามิได้เกี่ยวข้องอันใดกับตระกูลจี้เลย
