﻿M5003-4_1_1_1,I didn't expect there to be a Tea Stall here... ,ข้าไม่คิดว่าจะมีร้านชาอยู่ที่นี่...
M5003-4_2_3_4,"Their Dojokeeper Cai Yuanchang is not only one of the ""Eight Saints"", but also a heavy minister in the court. With this relationship, who among the scholars in the world doesn't want to join the Confucius Temple?",เจ้าสำนักวัดขงจื้อ ไช่หยวนฉาง ของพวกเขา ไม่เพียงแต่เป็นหนึ่งในแปดเซียนเท่านั้น แต่ยังเป็นขุนนางใหญ่ในราชสำนักด้วย ด้วยความสัมพันธ์เช่นนี้ ใครเล่าในหมู่นักปราชญ์จะไม่อยากเข้าร่วมวัดขงจื๊อ?
M5003-4_2_3_5,"I see, so you also... ",ข้าเข้าใจแล้ว ท่านเองก็...
M5003-4_2_3_6,"No, no, my ambition is not here, I just want to record the deeds of the heroes of the world, I don't want to seek officialdom.",ไม่เลย ข้าไม่ได้มุ่งหมายที่จะเป็นใหญ่เป็นโต ข้าเพียงต้องการบันทึกเรื่องราวของจอมยุทธผู้กล้าหาญ ข้าไม่ได้ต้องการเป็นขุนนางสักหน่อย
M5003-4_2_4_1,"This guy seems to be quite capable, he said he is from the ""Confucius Temple"", Innkeeper, do you know about it?",คนผู้นี้ดูเก่งกล้าทีเดียว เขาบอกว่ามาจากวัดขงจื๊อ เถ้าแก่ ท่านรู้จักที่นั่นหรือเปล่า?
M5003-4_2_4_2,"I'm not a martial artist, I don't know much about the various martial arts sects, but it seems that this Confucius Temple is quite powerful.",ข้าเป็นเพียงคนธรรมดา ไม่มีความรู้เรื่องยุทธภพมากนัก แต่ดูเหมือนว่าวัดขงจื๊อจะมีพลังอำนาจที่น่าสะพรึงกลัวมากทีเดียว
M5003-4_2_4_3,I see.,อย่างนี้นี่เอง...
M5003-4_3_1_1,"Amitabha, I am a disciple of the Shifa Temple, passing by here, I hope the Innkeeper can grant me a bowl of Low-grade tea.",อมิตาพุทธ ข้าเป็นศิษย์ของวัดซือฟา เดินทางผ่านมาแถวนี้ ขอเถ้าแก่เมตตาให้ชาหยาบสักถ้วยเพื่อดับกระหาย
M5003-4_3_2_1,(This monk is from that time...),(หลวงจีนรูปนี้จากเมื่อตอนนั้น...)
M5003-4_4_1_1,"Oh, I didn't expect to meet a fellow Daoist from the Shifa Temple here.",โอ้ อาตมาไม่นึกว่าจะได้พบกับสหายธรรมจากอารามซื่อฟาที่นี่
M5003-4_4_1_2,"Amitabha, may I ask who this benefactor is?",อมิตาพุทธ ขอถามได้ไหมว่าประสกผู้นี้คือใคร?
M5003-4_4_1_3,I am from the Confucius Temple.,ข้ามาจากวัดขงจื๊อ
M5003-4_4_1_4,"So it's a Daoist friend from the Confucius Temple, I have been rude.",งั้นก็เป็นสหายธรรมะจากวัดขงจื๊อ อาตมาได้กระทำการที่ไม่สมควรไป
M5003-4_4_1_5,"No harm done, I just ordered a pot of Low-grade tea, I can't drink much by myself anyway, would you like to share it with me?",ขอท่านวางใจ ข้าเพียงแค่สั่งชาหยาบมาหนึ่งหม้อ ข้าดื่มคนเดียวไม่หมดอยู่แล้ว ท่านจะร่วมดื่มกับข้ามั้ยล่ะ?
M5003-4_4_1_6,"Amitabha, then I won't be polite.",อมิตาพุทธ เช่นนั้นอาตมาขอรบกวน...
M5003-4_4_2_1,"First it was the Confucius Temple, now there's someone from the Shifa Temple... ",เมื่อกี้เพิ่งเป็นคนจากวัดขงจื๊อ คราวนี้ก็เป็นคนจากอารามซื่อฟา...
M5003-4_4_2_2,"Master, what is this Shifa Temple... ",อาจารย์ อารามซื่อฟาเป็นสถานที่เช่นไรกัน?
M5003-4_4_2_3,"It is one of the three religions, representing ""Buddhism"", and is also a representative of the righteous sects in the martial arts world today.",เป็นหนึ่งในสามนิกายใหญ่ เป็นผู้สืบทอดมรดกของพุทธศาสนา และเป็นหนึ่งในสำนักธรรมะที่ทรงอิทธิพลที่สุดในยุทธภพปัจจุบัน
M5003-4_4_2_4,How many representatives are there in the righteous sects of the martial arts world today... ,ในยุคสมัยนี้ มีผู้สืบทอดวิชาจากสำนักธรรมะกระจายอยู่ทั่วหล้ามากเพียงใดกัน...
M5003-4_4_2_5,"That is, the three families led by the three teachings, and the remaining one is the Taoist Sect... ",นั่นคือ สามตระกูลที่นำโดยสามนิกาย และอีกหนึ่งสำนักที่เหลือ คือสำนักเต๋า...
M5003-4_4_3_1,"This person is indeed from the Shifa Temple, no wonder he speaks profound truths one after another... ",หลวงจีนผู้นี้เป็นศิษย์ของอารามซื่อฟาแท้ๆ ไม่น่าแปลกใจที่คำพูดของเขาเปี่ยมไปด้วยปัญญา
M5003-4_4_3_2,"Brother, you don't seem to like the Shifa Temple?",ศิษย์พี่ เหตุใดท่านจึงดูไม่สบอารมณ์กับอารามซื่อฟาเช่นนี้
M5003-4_4_3_3,"Well... they don't produce anything, but they keep talking about morality. It might be good at other times, but in this world, what's the use of just talking about morality?",ก็... พวกเขาไม่ได้สร้างสรรค์สิ่งใด แต่กลับพร่ำสอนเรื่องธรรมะอยู่ตลอดเวลา อาจจะดีในยุคสงบสุข แต่ในยุทธภพนี้ การพูดถึงคุณธรรมอย่างเดียวจะมีประโยชน์อะไร
M5003-4_4_3_4,It seems... indeed it is.,ดูเหมือนจะเป็นเช่นนั้น... และมันก็เป็นเช่นนั้นจริง ๆ
M5003-4_4_4_1,"It turns out to be a master from the Shifa Temple, I have to ask him later if he can help me bless the Protected Talisman... ",ปรากฏว่าเป็นผู้ทรงธรรมจากอารามซื่อฟา ข้าคงต้องขอความกรุณาจากท่านช่วยปลุกเสกเครื่องรางของข้าในภายหลัง...
M5003-4_4_4_2,What is this Shifa Temple?,อารามซื่อฟา นี่คืออะไรกันแน่?
M5003-4_4_4_3,"Looking at your RollVagabond outfit, how come you don't even know about the Shifa Temple? That's the largest temple today, it is said that there are countless martial arts stored in it, and there is even a saying that all the martial arts in the world today come from the Shifa Temple!",มองเครื่องแต่งกายของเจ้าก็รู้ว่าเป็นเพียงบุรุษผู้เร่ร่อน เหตุใดเจ้าถึงไม่รู้จักอารามซื่อฟาล่ะ? นั่นคือวัดที่ใหญ่ที่สุดในปัจจุบัน มีการกล่าวกันว่าที่นั่นซ่อนเร้นวิชาชั้นสูงที่หาใดเปรียบไม่ได้ และยังมีเสียงลือเล่าขานว่า วิทยายุทธ์ทั้งปวงในยุคนี้ล้วนมีรากฐานมาจากอารามแห่งนั้น
M5003-4_4_4_4,What?! Is it really that powerful?,อะไรนะ!? มันทรงพลังขนาดนั้นเชียวเหรอ?
M5003-4_4_4_5,"That's what people say in the martial arts world, I don't know the specifics, I'm not a martial artist.",นั่นเป็นคำกล่าวที่เหล่าจอมยุทธ์มักเอ่ยถึงกัน แต่รายละเอียดปลีกย่อยนั้นข้ามิอาจทราบได้ ข้ามิใช่ผู้เชี่ยวชาญในวรยุทธ์
M5003-4_5_1_1,Are the two of you from the Shifa Temple and the Confucius Temple?,ท่านทั้งสองเป็นศิษย์อารามซื่อฟาและวัดขงจื๊องั้นรึ?
M5003-4_5_1_2,"Yes, I don't know who you are... ","ถูกต้อง, ข้ามิอาจทราบได้ว่าท่านเป็นผู้ใด"
M5003-4_5_1_3,"I am a disciple of Zhong Yangzi from the Taoist Sect, I didn't expect to meet friends from the Shifa Temple and Confucius Temple during this trip, it's really fate.",ข้าเป็นศิษย์สายตรงของฉง หยางสื่อแห่งสำนักเต๋า ไม่นึกเลยว่าจะได้พบพานสหายจากอารามซื่อฟาและวัดขงจื๊อในยามนี้ เห็นทีจะเป็นวาสนาที่สวรรค์ลิขิตกระมัง
M5003-4_5_1_4,May I join you two?,ขอข้าร่วมโต๊ะกับท่านทั้งสองได้หรือไม่
M5003-4_5_1_5,"You are actually a disciple of Zhong Yangzi, your status is not low!",ท่านคือศิษย์ของฉง หยางสื่อ! สถานะของท่านมิได้ต่ำต้อยเลย!
M5003-4_5_1_6,"Please have a seat, Taoist priest.",เชิญท่านนั่งเถิด นักพรตเต๋า
M5003-4_5_1_7,"Thank you for your kindness, I have been accumulating Qi in my Dantian recently, and I can't rest for three days, so I will stand instead of sitting, hope you understand.",ขอขอบคุณในไมตรีจิต ข้าได้สะสมลมปราณในตันเถียนอย่างต่อเนื่องมาได้ระยะหนึ่งแล้ว ข้าจึงจำเป็นต้องยืนตลอดเวลา เป็นเวลาสามวัน ขอท่านโปรดเข้าใจด้วยที่ข้าไม่สามารถนั่งได้
M5003-4_5_2_1,"I didn't expect disciples from the three teachings to gather here, this is going to be interesting... ",ไม่นึกเลยว่าศิษย์ทั้งสามสำนักจะมารวมตัวกัน ณ ที่แห่งนี้ ชักจะน่าสนใจซะแล้วสิ
M5003-4_5_2_2,"Good disciple, try to get close and listen to what they are talking about.",ลูกศิษย์เอ๋ย จงเข้าไปสืบดูให้แน่ชัดว่าพวกเขากำลังหารือเรื่องใด
M5003-4_5_2_3,Is it really good to eavesdrop like this... ,การกระทำเช่นนี้เหมาะสมแล้วหรือ? ข้ารู้สึกไม่สบายใจนัก...
M5003-4_5_2_4,"Disciples from the three teachings gather here, there must be important matters in the martial arts world, it might be a good opportunity for us storytellers!",ศิษย์ทั้งสามสำนักมารวมตัวกัน ณ ที่แห่งนี้ ย่อมต้องมีเรื่องสำคัญในยุทธภพแน่แท้ เป็นโอกาสอันดีของพวกเราเหล่านักเล่าเรื่อง!!
M5003-4_5_3_1,"Now the people from the Taoist Sect are here too, I didn't expect this unremarkable Nameless Region to have a day when disciples from the three teachings gather... ",ตอนนี้คนจากสำนักเต๋าเข้ามาแล้วด้วย ไม่นึกเลยว่าดินแดนไร้นามแห่งนี้ จะมีวันได้พบกับการรวมตัวกันของศิษย์ทั้งสามสำนักเช่นนี้
M5003-4_5_3_2,"{PlayerSurName} brother, if you have a chance, try to eavesdrop on what they are talking about?",ศิษย์น้อง{PlayerSurName} จงแอบเข้าไปใกล้ แล้วฟังดูว่าพวกเขากำลังหารือเรื่องใด?
M5003-4_5_3_3,Is it really good to eavesdrop like this... ,การกระทำเช่นนี้เหมาะสมแล้วหรือ? ข้ารู้สึกไม่สบายใจนัก...
M5003-4_5_3_4,"This is a rare storytelling material, if we just let it go, I'm afraid I won't be able to sleep for a few days.",วัตถุดิบในการเล่าขานเรื่องราวเช่นนี้หาได้ยากยิ่ง หากปล่อยให้หลุดลอยไป คงต้องใช้เวลาหลายคืนกว่าจะหลับตาลงได้
M5003-4_6_1_1,"Innkeeper, is the tea ready?",เถ้าแก่! ชาเสร็จหรือยัง!
M5003-4_6_1_2,"It's ready, I'll bring it to you right away.",ชาพร้อมแล้ว ข้าจะรีบนำไปให้ท่านทันที
M5003-4_6_1_3,"Innkeeper, let me bring it to them.",เถ้าแก่ ให้ข้านำไปส่งพวกเขาเอง ขอท่านวางใจ
M5003-4_6_1_4,"You? Alright, it saves me the trouble.",ให้ท่านรึ ก็ดีเหมือนกัน ช่วยให้ข้าปลดเปลื้องความยุ่งยากไปได้มาก
M5003-4_6_1_5,"Gentlemen, the tea is here.",ท่านทั้งหลาย ชาพร้อมแล้ว ขอเรียนเชิญ
M5003-4_6_1_6,Thank you.,ท่านมีน้ำใจนัก ข้าขอคารวะ
M5003-4_6_1_7,"Let me pour it for you.\n(Take this opportunity to listen to their conversation.)","ข้าจะเทให้ท่านเอง...\n(ใช้โอกาสนี้สอดแนมการสนทนาของพวกเขา)"
M5003-4_6_1_8,"Amitabha, I didn't expect to be able to meet two friends over tea in such a remote place, it's a great fate.",อมิตาพุทธ อาตมาไม่คิดว่าจะได้พบเพื่อนสองท่านดื่มชาในสถานที่ห่างไกลเช่นนี้ ช่างเป็นวาสนาอันยิ่งใหญ่
M5003-4_6_1_9,I didn't expect to meet friends from the Shifa Temple and Confucius Temple on this trip under the order of my master.,ข้ามิได้คาดหวังว่าจะได้พบมิตรสหายจากอารามซื่อฟาและวัดขงจื๊อในระหว่างการเดินทางครั้งนี้ตามบัญชาอาจารย์ข้า
M5003-4_6_1_10,Oh? So the Taoist priest is also under the order of the master? This is a coincidence... ,อ้อ? ท่านนักพรตเต๋า ก็ได้รับบัญชาอาจารย์เช่นกันหรือ? นี่เป็นเรื่องบังเอิญที่หาได้ยาก...
M5003-4_6_1_11,"The sect leader heard that there is a group of murderous and arsonist Mountain Bandits here, known as <color=#c44b0e>Bandit Chief Stronghold</color>. He ordered me to go down the mountain to eliminate them for the people, and also as a part of my training... ",ท่านเจ้าสำนักทราบข่าวว่ามีกลุ่มโจรภูเขาชั่วร้าย ฆ่าคนเผาบ้าน เรียกกันว่า <color=#c44b0e>ค่ายหัวหน้าโจร</color> จึงมีบัญชาให้ข้าลงจากยอดเขาเพื่อปราบปรามพวกมัน เพื่อความสงบสุขของราษฎร และเป็นการฝึกฝนตนด้วย...
M5003-4_6_1_12,What a coincidence! I didn't expect the Taoist priest's purpose to be the same as mine.,ช่างเป็นเรื่องบังเอิญที่หาได้ยาก! ข้าไม่คิดว่าจุดหมายของท่านนักพรตเต๋าจะตรงกับข้า
M5003-4_6_1_13,"Is there such a coincidence? Then what is the purpose of your trip, master... ",มีเรื่องบังเอิญเช่นนี้ด้วยหรือ? หากเช่นนั้น จุดหมายในการเดินทางของท่านอาจารย์คืออะไรกัน...
M5003-4_6_1_14,"Amitabha, this humble monk is here to persuade the Mountain Bandit to lay down their weapons and become a Buddha on the spot... ",อมิตาพุทธ หลวงจีนผู้ต่ำต้อยผู้นี้ มาเพื่อชักชวนโจรภูเขาให้ละทิ้งวิถีแห่งความรุนแรงและเข้าสู่หนทางแห่งสันติ
M5003-4_6_1_15,"It's unexpected that you, me, and the three of us from different sects have gathered here for the same purpose. I wonder if the two of you would like to join me? It would be a good story if we succeed~","มิได้คาดคิดว่าท่าน,ข้า และเราทั้งสามผู้มาจากต่างสำนัก จะมารวมตัวกัน ณ ที่นี้ด้วยจุดประสงค์เดียวกัน ข้าใคร่ขอเรียนถามว่าท่านทั้งสองสนใจร่วมมือกับข้าหรือไม่? หากสำเร็จลุล่วงไปได้ เรื่องราวนี้จะเป็นตำนานอันเลื่องชื่อ"
M5003-4_6_1_16,"But the head of the sect instructed that I must complete this task on my own, without any external help... ",แต่เจ้าสำนักได้สั่งไว้ว่า ข้าต้องฝ่าฟันอุปสรรคนี้ไปเพียงลำพัง โดยมิอาจรับความช่วยเหลือจากผู้ใด...
M5003-4_6_1_17,"We need to adapt to the situation at hand. If you don't tell, and I don't tell, how would Elder Zhong Yangzi know?",สถานการณ์ผันผวน เราจำเป็นต้องปรับตัวให้เข้ากับกระแสน้ำ หากเจ้าและข้าปิดปากเงียบ แล้วผู้เฒ่าฉงหยางสื่อจะรู้เรื่องได้อย่างไร?
M5003-4_6_1_18,That's true... ,จริงของท่าน...
M5003-4_6_1_19,"Amitabha, this humble monk does not wish to add more killings to this world, but only hopes to persuade them to lay down their weapons. As for the good story, this humble monk doesn't care.",อมิตาพุทธ หลวงจีนผู้ต่ำต้อยนี้ มิปรารถนาเพิ่มบาปกรรมให้ยุทธภพนี้ หวังเพียงชี้ทางสว่างให้พวกเขาเท่านั้น ส่วนเรื่องชื่อเสียงเกียรติยศนั้น หลวงจีนผู้ต่ำต้อยเช่นอาตมามิได้ใส่ใจ
M5003-4_6_1_20,"Master, you are wrong. Those villains can't be persuaded by just a few words, can they?",ท่านอาจารย์ ท่านคิดผิดแล้ว พวกโจรชั่วเหล่านั้น ท่านคิดว่าพวกมันจะยอมฟังคำเทศนาเพียงไม่กี่คำแล้วเลิกคุกคามผู้คนหรือ?
M5003-4_6_1_21,"Master, haven't you heard the saying ""A scholar meets a soldier, and reason can't prevail?"" If you want to persuade them to lay down their weapons, I'm afraid you'll have to beat them down first!","ท่านอาจารย์ ท่านไม่เคยได้ยินสุภาษิตที่ว่า ""เมื่อปราชญ์พบนักรบ เหตุผลย่อมไร้ค่า"" งั้นรึ หากท่านต้องการชักชวนให้พวกมันวางอาวุธ ข้าเกรงว่าท่านจะต้องใช้กำลังตัดสินก่อน!"
M5003-4_6_1_22,"... If that's the case, I ask the two of you to leave them a way out, and let this humble monk try to persuade them.",...หากเป็นเช่นนั้น อาตมารบกวนให้ท่านทั้งสองเปิดทางให้ หลวงจีนผู้ต่ำต้อยนี้จะได้ลองชักนำพวกเขาด้วยวาจา
M5003-4_6_1_23,Sure. But do you two know where this Bandit Chief Stronghold is?,แน่นอน แต่ท่านทั้งสองรู้งั้นหรือว่าค่ายหัวหน้าโจรนี้ตั้งอยู่ที่ใด?
M5003-4_6_1_24,This... I haven't found out yet.,เรื่องนี้... ยังเป็นปริศนาที่ข้ากำลังไขอยู่
M5003-4_6_1_25,"Amitabha, this humble monk has inquired in many places but has found nothing.",อมิตาพุทธ หลวงจีนผู้ต่ำต้อยนี้ได้สืบค้นมาแล้วทั่วทุกหนแห่ง แต่กลับพบเพียงความว่างเปล่า
M5003-4_6_1_26,"Alas, I'm in the same situation... How about you, me, and the three of us split up and inquire separately, and if we find out anything, we meet here again?","อนิจจา ข้าก็ประสบปัญหาเดียวกัน... ท่านว่าอย่างไร หากข้า, ท่าน, และอีกสามท่านแยกย้ายกันสืบหาข้อมูล หากพบเบาะแสใดๆ ก็รีบกลับมาที่นี่ทันที!"
M5003-4_6_1_27,That would be great.,เห็นพ้องต้องกัน
M5003-4_6_1_28,Amitabha.,อมิตาพุทธ
M5003-4_6_1_29,"Then there's no time to lose, please start your journey immediately.",เวลาไม่รอใคร รีบออกเดินทางโดยเร็ว!
M5003-4_6_1_30,"Heh, I'll reap the benefits when the time comes~",เหอะๆ เมื่อถึงครานั้น ข้าจะเก็บเกี่ยวผลประโยชน์เอง~
M5003-4_6_2_1,These disciples from the three sects are all here for this Bandit Chief Stronghold... ,เหล่าศิษย์จากสามสำนักต่างก็หมายตาค่ายหัวหน้าโจรแห่งนี้...
M5003-4_6_3_1,"Their target is also the Bandit Chief Stronghold, you need to hurry up, don't let them get there first~",พวกมันก็หมายตา ค่ายหัวหน้าโจรแห่งนี้เช่นกัน เจ้าต้องรีบไป อย่าให้ใครชิงความได้เปรียบ!
M5003-4_6_4_1,"These three seem to be here for the Bandit Chief Stronghold, but it seems... ",ดูเหมือนว่าพวกเขาสามคนนี้จะหมายตาค่ายหัวหน้าโจรแห่งนี้ แต่ดูเหมือนว่า...
M5003-4_6_4_2,"Forget it, it's none of my business anyway.",ช่างมันเถอะ ไม่ใช่ธุระของข้าเสียหน่อย
M5003-5_0_1,"You've been staring for a while now, what do you say, why don't you give me some money?",ท่านจ้องมานานแล้ว พูดอะไรสักหน่อยไหม ทำไมไม่ให้เงินข้าบ้างล่ะ?
M5003-5_0_2,"This... your attitude is really bad, can you really get money like this?",ท่าทางเย่อหยิ่งเช่นนี้... คิดหรือว่าจะได้เงินง่ายๆ?
M5003-5_0_3,"You don't care if I can get it or not, if you don't give, stay away from me, don't hinder others from doing good deeds!",เจ้าไม่สนว่าข้าจะได้หรือไม่ได้ หากเจ้าไม่ให้ ก็อย่ามาขวางทาง! อย่ามาขัดขวางบุญกุศลของผู้อื่น!
M5003-5_0_4,(Should I give him some money?),(ข้าควรให้เงินเขาไหม?)
M5003-5_option1_1,Donate 200 Coin! <color=#097a76>(200 Coin)</color>,บริจาค 200 อีแปะ! <color=#097a76>(200 อีแปะ)</color>
M5003-5_option1_2,Donate 100 Wen. <color=#097a76>(100 Wen)</color>,บริจาค 100 อีแปะ! <color=#097a76>(100 อีแปะ)</color>
M5003-5_option1_3,Donate 50 Coin. <color=#097a76>(50 Coin)</color>,บริจาค 50 อีแปะ! <color=#097a76>(50 อีแปะ)</color>
M5003-5_option1_4,Don't donate.,อย่าหวังจะได้เงิน
M5003-5_1_1,"Tsk, you're really a tightwad, if you're not giving money, get lost!","ชิ่ว, เจ้านี่ขี้เหนียวจริงๆ ถ้าไม่ให้เงิน ก็ไปให้พ้น!"
M5003-5_2_1,"Tsk, is that all the money you have? It's not even enough to fill my teeth!","ชิ่ว, ทำไมมีเงินแค่นี้เอง! ยังไม่พอให้ข้าแคะฟันด้วยซ้ำ!"
M5003-5_2_2,This is the first time I've been looked down upon by a beggar for giving too little money. Are all beggars so unreasonable these days?,นี่เป็นครั้งแรกที่ข้าโดนดูถูกจากยาจกเพียงเพราะให้เงินน้อยไปหรือ? ยาจกยุคนี้หน้าด้านกันเสียจริง!
M5003-5_2_3,"Hmph, with this little money, it's just enough for me to drink a few sips of cold water, and you want me to say a few auspicious words?",ฮึ่ม! เงินแค่นี้... พอซื้อน้ำเย็นดับกระหายได้หรือเปล่าก็ไม่รู้ แล้วจะให้ข้ากล่าวอวยพรเพื่ออะไร?
M5003-5_2_4,"Forget it, seeing that you look like a newcomer to the martial arts world, I wish you good luck.",ช่างเถอะ... เจ้าดูเหมือนจะเป็นลูกไก่ในยุทธภพ ขอให้โชคดีกับการเดินทาง
M5003-5_2_5,"Alright, alright, I've said the auspicious words, hurry up and go, don't hinder others from doing good deeds!",เอาล่ะ เอาล่ะ ข้าได้กล่าวอวยพรแล้ว ไสหัวไป อย่ามาขวางทางบุญของผู้อื่น!
M5003-5_3_1,This beggar... ,ไอ้ยาจกนี่...
M5003-5_3_2,What's wrong with the master? Is there anything special about this beggar?,ท่านอาจารย์เป็นอะไรไป? ยาจกผู้นี้มีอะไรพิเศษหรือ?
