﻿题库1_题目1,This is title 1,บทนำที่ 1
隆中书院老学究_题目23,"What is the next line after ""The three powers are heaven, earth and man""?","ประโยคถัดไปของ ""สามสรรพสิ่ง คือ สวรรค์ โลก และมนุษย์"" คืออะไร? (ตอบข้อ 1)"
隆中书院老学究_题目24,"What is the next line after ""The wise man is as good as water, Great Ocean Manual""?","ประโยคถัดไปของ ""บุรุษผู้ทรงปัญญามีค่าเสมอนที, คัมภีร์มหาชลาลัย""? (ตอบข้อ 3)"
隆中书院老学究_题目25,"What is the next line after ""Respect the old, and extend it to others""?","ประโยคถัดไปของ ""เคารพอาวุโส และผู้อื่นอีกนับพัน"" คืออะไร? (ตอบข้อ 2)"
隆中书院老学究_题目1_答案1,"Nature is close, habit is far.",ธรรมชาติอยู่ชิดใกล้ ที่ห่างไกลคือสันดาน<<<
隆中书院老学究_题目1_答案2,"Habit is close, nature is far.",สันดานอยู่แนบชิด ธรรมชาติห่างเหิน
隆中书院老学究_题目1_答案3,"If not taught, nature will change.",หากไม่สอน จิตใจเปลี่ยน
隆中书院老学究_题目1_答案4,"The way of teaching, value in focus.",หลักการสอน สำคัญที่ความตั้งใจ
隆中书院老学究_题目2_答案1,"In the past, Mencius' mother chose her neighbors carefully.",ในอดีต แม่ของเมิ่งจื่อเลือกที่อยู่โดยพิจารณาจากเพื่อนบ้าน
隆中书院老学究_题目2_答案2,"If a child does not learn, it is like breaking the loom.",เด็กไม่เรียนรู้ ก็เหมือนหักทอ
隆中书院老学究_题目2_答案3,"If a father does not teach his son, he is to blame.",เลี้ยงบุตรโดยไม่สั่งสอน เป็นความผิดของบิดา
隆中书院老学究_题目2_答案4,"If not taught, nature will change.",ไร้สอนสั่ง ครรลองพลั้งเปลี่ยน<<<
隆中书院老学究_题目3_答案1,"If a child does not learn, it is like breaking the loom.",เด็กไม่เรียนรู้ ก็เหมือนหักทอ
隆中书院老学究_题目3_答案2,"If a person does not learn, he does not know righteousness.",คนถ้าไม่เรียนรู้ ก็ไร้คุณธรรม <<<
隆中书院老学究_题目3_答案3,"If a person does not learn, he does not become a tool.",หากคนไม่เรียนรู้ ผู้นั้นก็ยากจะสร้างสรรค์สิ่งใด
隆中书院老学究_题目3_答案4,"If a tool is not sharpened, it is not worth money.",หากเครื่องมือไม่คม เช่นนั้นมันก็ไร้ค่า
隆中书院老学究_题目4_答案1,"A modest and virtuous young lady, I dream of her.",หญิงงามผู้เปี่ยมคุณธรรม ข้าเฝ้าฝันถึงนาง
隆中书院老学究_题目4_答案2,"A modest and virtuous young lady, Honorable towards her.",หญิงงามผู้เปี่ยมคุณธรรม เป็นเกียรติแก่นาง
隆中书院老学究_题目4_答案3,"A lady of grace, Gentleman's Courtship.",หญิงงามได้พบพาน บุรุษย้ำทรนง<<<
隆中书院老学究_题目4_答案4,"A modest and virtuous young lady, a friend of the zither.",หญิงงามผู้เปี่ยมคุณธรรม มีฉินเป็นเครื่องดนตรีคู่กาย
隆中书院老学究_题目5_答案1,Benefits all things and does not compete., สายนทีหล่อเลี้ยงชีวีไร้แก่งแย่ง <<<
隆中书院老学究_题目5_答案2,Moistens all things and makes no sound.,หล่อเลี้ยงสรรพสิ่งโดยไร้เสียง
隆中书院老学究_题目5_答案3,Understands all things in silence.,เข้าใจทุกสิ่งโดยไม่เอ่ยคำ
隆中书院老学究_题目5_答案4,Flows eastward and does not return.,ไหลไปทางทิศตะวันออกและไม่หวนกลับ
隆中书院老学究_题目6_答案1,"A thousand-mile dike, destroyed by an ant hole.",เขื่อนสูงพันลี้ พังทลายเพราะโพรงมด
隆中书院老学究_题目6_答案2,"Without accumulating small steps, there is no way to reach a thousand miles.",หากไม่สะสมก้าวเล็กๆ ก็ไม่มีทางไปถึงพันลี้
隆中书院老学究_题目6_答案3,A thousand-mile journey begins with a single step.,การเดินทางพันลี้ เริ่มต้นที่ก้าวแรก<<<
隆中书院老学究_题目6_答案4,"The mighty river and sea, accumulate from small streams.",แม่น้ำและทะเลอันยิ่งใหญ่ล้วนเกิดจากลำธารเล็กๆ
隆中书院老学究_题目7_答案1,The petty man is always worried.,คนใจแคบมักจะกังวล
隆中书院老学究_题目7_答案2,The petty man is inconsistent.,คนใจแคบมักจะไม่สอดคล้องกัน
隆中书院老学究_题目7_答案3,The petty man agrees but does not harmonize.,คนหยาบกระด้างไม่เห็นต่างแต่กลับไม่จริงใจ <<<
隆中书院老学究_题目7_答案4,The petty man is timid and hesitant.,คนใจแคบขี้ขลาดและลังเล
隆中书院老学究_题目8_答案1,"Heaven, earth and man, man can conquer heaven.",ฟ้าดินและมนุษย์ มนุษย์สามารถเอาชนะฟ้าได้
隆中书院老学究_题目8_答案2,"Heaven's movement is strong, keep striving without rest.",การเคลื่อนไหวของสวรรค์แข็งแกร่ง พยายามอย่างไม่หยุดหย่อน
隆中书院老学究_题目8_答案3,"When the blue sky dies, the yellow sky will rise.","เมื่อใดท้องฟ้าสว่างลาลับ, ฟ้าเหลืองยามเย็นจะเคลื่อนมา"
隆中书院老学究_题目8_答案4,The way of heaven is the way of nature.,"สวรรค์ยึดตามวิถีแห่งเต๋า, เต๋ายึดตามวิถีแห่งธรรมชาติ<<<"
隆中书院老学究_题目9_答案1,"This is a humble room, but it is filled with my virtue.",นี่เป็นห้องที่ต่ำต้อย แต่เต็มไปด้วยคุณธรรมของข้า
隆中书院老学究_题目9_答案2,"How high is the sky, how deep is the sea.",นภาสูงแค่ไหน ทะเลลึกเพียงใด
隆中书院老学究_题目9_答案3,"Duke Zhou fed the people, and all hearts turned to him.",โจวอ๋องเคารพชาวประชาเป็นอย่างดี ทั่วปฐพีรวมใจภักดีพลัน<<<
隆中书院老学究_题目9_答案4,"Where sincerity is, even metal and stone will open.",ที่ใดมีความจริงใจ แม้โลหะและหินก็จะเปิดออก
隆中书院老学究_题目10_答案1,A thousand-mile journey begins with a single step.,หนทางนับหมื่นลี้ต้องเริ่มต้นด้วยก้าวแรก
隆中书院老学究_题目10_答案2,"The stars in the sky are brilliant, as if they come from within.",ดาราพราวกลางฟ้าใส สว่างไสวในใจตน<<<
隆中书院老学究_题目10_答案3,"The world is vast, the starry sea is boundless.",โลกกว้างใหญ่ ทะเลเต็มไปด้วยดวงดาวไร้ขอบเขต
隆中书院老学究_题目10_答案4,"Heaven and Earth are Mysterious Yellow, the universe is Primal Land.",ฟ้าดินเป็นสีเหลืองลึกลับ จักรวาลเป็นดินแดนดึกดำบรรพ์
隆中书院老学究_题目11_答案1,Evil can live for a thousand years.,ความชั่วร้ายสามารถอยู่ได้เป็นพันปี
隆中书院老学究_题目11_答案2,The petty man is always worried.,คนพาลใจแคบ <<<
隆中书院老学究_题目11_答案3,It's hard to raise a petty person.,คนใจคับแคบนั้นเลี้ยงยาก
隆中书院老学究_题目11_答案4,A petty person is always happy.,คนใจคับแคบมักมีความสุขเพียงชั่วคราว
隆中书院老学究_题目12_答案1,To think without learning is dangerous.,คิดอย่างเดียวแต่ไม่เรียน ก็หลงทางไร้หลัก<<<
隆中书院老学究_题目12_答案2,"If you don't know, be Optimistic.",หากไม่รู้ ก็จงคิดดีเข้าไว้
隆中书院老学究_题目12_答案3,It's not angering if people don't know.,มิใช่เรื่องผิดที่ผู้คนไม่รู้
隆中书院老学究_题目12_答案4,To think without learning is shallow.,การคิดโดยไม่เรียนรู้นั้นตื้นเขิน
隆中书院老学究_题目13_答案1,Retreat in order to advance.,ยอมถอยเพื่อเดินหน้า
隆中书院老学究_题目13_答案2,A hero uses martial arts to break the law.,นักเลงใช้กำลังฝ่าฝืนกฎเกณฑ์ <<<
隆中书院老学究_题目13_答案3,A mother values her son.,บุตรชายเป็นสิ่งล้ำค่าสำหรับมารดา
隆中书院老学究_题目13_答案4,People regard food as their heaven.,ผู้คนถือว่าอาหารเป็นสวรรค์ของพวกเขา
隆中书院老学究_题目14_答案1,Practice brings true knowledge.,การปฏิบัติทำให้เกิดความรู้ที่แท้จริง
隆中书院老学究_题目14_答案2,The ends of the earth are as close as next door.,สุดขอบโลกใกล้แค่เอื้อม
隆中书院老学究_题目14_答案3,"Heaven is long, earth is also long.",สวรรค์ยืนยาวแผ่นดินก็ยืนยาวเช่นกัน
隆中书院老学究_题目14_答案4,Time reveals a person's heart.,กาลเวลาพิสูจน์คน <<<
隆中书院老学究_题目15_答案1,The previous wave dies on the beach.,คลื่นลูกเก่าสิ้นสุดบนหาดทราย
隆中书院老学究_题目15_答案2,"In front of a sick tree, a thousand trees bloom in spring.",เบื้องหน้าไม้ป่วย ต้นไม้พันต้นผลิบานในฤดูใบไม้ผลิ
隆中书院老学究_题目15_答案3,New people in the world replace the old.,คนรุ่นใหม่ในโลกไล่ทันคนรุ่นเก่า <<<
隆中书院老学究_题目15_答案4,Each generation is stronger than the last.,แต่ละรุ่นแข็งแกร่งกว่ารุ่นสุดท้าย
隆中书院老学究_题目16_答案1,Win a thousand miles away.,ชี้ขาดชัยชนะไกลนับพันลี้<<<
隆中书院老学究_题目16_答案2,Don't listen to the outside world.,อย่าฟังโลกภายนอก
隆中书院老学究_题目16_答案3,Only hear the woman's sigh.,ได้ยินเพียงเสียงถอนหายใจของสตรี
隆中书院老学究_题目16_答案4,Only read the books of sages.,อ่านเพียงตำราของบรรดาปราชญ์
隆中书院老学究_题目17_答案1,"If you are rich, you are not benevolent.",ถ้าเจ้ารวย เจ้าก็ไม่ใจบุญ
隆中书院老学究_题目17_答案2,Death is heavier than Mount Tai.,การจากไปอย่างมีคุณค่า ย่อมหนักหนากว่าภูผาไท่ซาน
隆中书院老学究_题目17_答案3,"If you are successful, you are kind to the world.",เมื่อรุ่งเรือง ก็จงทำความดีเพื่อผู้อื่น <<<
隆中书院老学究_题目17_答案4,"If you are rich, even chickens and dogs can ascend to heaven.",ถ้าเจ้ารวย แม้แต่ไก่และสุนัขก็ขึ้นสวรรค์ได้
隆中书院老学究_题目18_答案1,"The emperor is not benevolent, treating the world as fish meat.",ฮ่องเต้องค์นี้ไร้คุณธรรม มองปวงชนทั่วหล้าเป็นเพียงเนื้อปลา
隆中书院老学究_题目18_答案2,"The mountains and rivers are unjust, with the tyrant as the ruler.",ภูเขาและแม่น้ำไม่ยุติธรรม มีทรราชเป็นผู้ปกครอง
隆中书院老学究_题目18_答案3,"Cruel World, there is justice in the world.",โลกที่โหดร้าย มีความยุติธรรมในโลก
隆中书院老学究_题目18_答案4,"The sage is not benevolent, treating the people as straw dogs.",ปราญช์ไร้อาทร อาวรณ์คนดั่งสุนัข <<<
隆中书院老学究_题目19_答案1,There will be a master painter.,จะมีจิตรกรเอก
隆中书院老学究_题目19_答案2,"Know a person's face, but not their heart.",เหมือนเห็นใบหน้าคน แต่ไม่อาจรู้จิตใจ <<<
隆中书院老学究_题目19_答案3,"Know a scholar's face, but not their heart.",รู้จักใบหน้าของบัณฑิต แต่ไม่รู้จักจิตใจของพวกเขา
隆中书院老学究_题目19_答案4,Drawing a tiger but it turns out to be a dog.,วาดเสือแต่กลายเป็นสุนัข
隆中书院老学究_题目20_答案1,"If you don't sweep your own house, you can't sweep the world.",หากมิอาจปัดกวาดเรือนตนให้สะอาด จะอาจหาญปัดกวาดใต้หล้าได้อย่างไร
隆中书院老学究_题目20_答案2,"If you don't read books, you can't pass the exam.",ถ้าไม่อ่านหนังสือสอบไม่ผ่าน
隆中书院老学究_题目20_答案3,"If you don't accumulate small streams, you can't form rivers and seas.",ไม่สะสมสายน้ำเล็ก ๆ ก็ไม่อาจเป็นแม่น้ำและทะเลได้ <<<
隆中书院老学究_题目20_答案4,"If you don't accumulate soil, you can't pile up Mount Tai.",ถ้าไม่สะสมดิน ก็ถมภูเขาไท่ไม่ได้
隆中书院老学究_题目21_答案1,"If the teaching is not strict, the teacher is lazy.",สั่งสอนแต่ไม่เข้มงวด เป็นความเกียจคร้านของอาจารย์ <<<
隆中书院老学究_题目21_答案2,"If the young do not learn, what will the old do?",ถ้าตอนเด็กไม่เรียนหนังสือ โตมาจะทำอะไร?
隆中书院老学究_题目21_答案3,"If the child does not learn, it is not appropriate.",ถ้าเด็กไม่เรียนก็ไม่เหมาะ
隆中书院老学究_题目21_答案4,"If not taught, nature will change.",ถ้าไม่สอน ธรรมชาติจะเปลี่ยน
隆中书院老学究_题目22_答案1,"In the past, Mencius' mother chose her neighbors carefully.",ในอดีต มารดาของเมิ่งจื่อได้เลือกเพื่อนบ้านอย่างรอบคอบ
隆中书院老学究_题目22_答案2,"If the young do not learn, what will the old do?",ถ้าตอนเด็กไม่เรียนหนังสือ โตมาจะทำอะไร?
隆中书院老学究_题目22_答案3,"Respect the elder, should know first.",รู้กาลเทศะ และเคารพผู้ใหญ่ <<<
隆中书院老学究_题目22_答案4,"At the age of nine, can warm the bed.",ตอนอายุเก้าขวบ ก็สามารถอุ่นเตียงได้แล้ว
隆中书院老学究_题目23_答案1,"The three lights are the sun, the moon, and the stars.",สามแสงสว่าง คือ ดวงอาทิตย์ ดวงจันทร์ และดวงดาว <<<
隆中书院老学究_题目23_答案2,The three principles are the duties of the king and the minister.,สามคุณธรรม คือหน้าที่ของฮ่องเต้และขุนนาง
隆中书院老学究_题目23_答案3,The ten heavenly stems are from Jia to Gui.,"สิบสวรรค์ลำดับนั้นมาจาก ""เจี่ย"" ถึง ""กุ่ย"""
隆中书院老学究_题目23_答案4,"The twelve earthly branches, from Zi to Hai.",กิ่งก้านทั้งสิบสองหมุนเวียนผ่านกาลเวลา
隆中书院老学究_题目24_答案1,The tyrant is the only one who is supreme.,ทรราชย์คือผู้เดียวที่อยู่เหนือสิ่งอื่นใด
隆中书院老学究_题目24_答案2,"The minister is below one person, but above ten thousand.",ขุนนางอยู่ใต้คนผู้หนึ่ง แต่อยู่เหนือนับหมื่นคน
隆中书院老学究_题目24_答案3,"The benevolent person is like a high mountain, carrying heavy virtue.","ผู้ทรงกรุณาเสมือนบรรพตสูงใหญ่, ค้ำจุนคุณธรรม <<<"
隆中书院老学究_题目24_答案4,"The king is like Duke Zhou, all hearts turn to him.",ท่านอ๋องโจวเหมือนดั่งฮ่องเต้ ใต้หล้าต่างสรรเสริญ
隆中书院老学究_题目25_答案1,"I feel cold, as do others.",หนาวเหน็บเช่นกัน
隆中书院老学究_题目25_答案2,"I was young, as were others.",ดูแลบุตรแห่งตนให้ดี ใส่ใจบุตรของผู้อื่นดุจเดียวกัน <<<
隆中书院老学究_题目25_答案3,"I worry, as do others.",ข้าก็รู้สึกกังวลเช่นกัน
隆中书院老学究_题目25_答案4,"I am happy, as are others.",มาใส่ใจเขา
院试1_题目1,"""What is the next sentence of 'The frog in the well cannot speak of the sea, because it is confined to the void'?""",ประโยคถัดไปของ 'กบในบ่อน้ำย่อมไม่อาจพูดถึงท้องทะเลได้ เพราะมันอยู่แต่ในที่แคบ' คืออะไร? (ตอบข้อ 3)
院试1_题目2,"""What is the next sentence of 'A thousand cups are too few when you meet an Intimate'?""",ประโยคถัดไปของ 'เมื่อพบพานสหายผู้รู้ใจ ดื่มเหล้าไปพันจอกก็ไม่พอ' คืออะไร? (ตอบข้อ 4)
院试1_题目3,"""What is the next sentence of 'He who knows others is wise, he who knows himself is enlightened'?""",ประโยคถัดไปของ 'ผู้ที่รู้จักผู้อื่นคือคนฉลาด ผู้ที่รู้จักตนเองคือคนมีปัญญา' คืออะไร?  (ตอบข้อ 1)
院试2_题目1,"""What is the next sentence of 'Not seeing oneself, therefore enlightened'?""",ประโยคถัดไปของ 'ไม่หลงยึดตนเอง จึงมองเห็นความจริงแจ่มชัด' คืออะไร? (ตอบข้อ 4)
院试2_题目2,"""What is the next sentence of 'Piling up soil to form a mountain, wind and rain will rise'?""",ประโยคถัดไปของ 'กองดินจนเป็นภูเขา ลมฝนก็จะตามมา' คืออะไร? (ตอบข้อ 4)
院试2_题目3,"""What is the next sentence of 'Persist and give up, rotten wood will not break'?""",ประโยคถัดไปของ 'แกะสลักแล้วล้มเลิก แม้เป็นไม้ผุก็ไม่เกิดรอย' คืออะไร? (ตอบข้อ 2)
院试3_题目1,"""What is the next sentence of 'If you don't climb high mountains, you won't know how high the sky is'?""",ประโยคถัดไปของ 'ไม่ขึ้นภูเขาสูง ย่อมไม่รู้ว่าท้องฟ้าสูงเพียงใด' คืออะไร? (ตอบข้อ 1)
院试3_题目2,"""What is the next sentence of 'A good farmer does not stop plowing because of drought or flood'?""",ประโยคถัดไปของ 'ชาวนาดี มิหวั่น แม้น้ำแล้ง' คืออะไร? (ตอบข้อ 3)
院试3_题目3,"""What is the next sentence of 'If the year is not cold, you won't know the strength of the pine and cypress'?""",ประโยคถัดไปของ 'หากฤดูหนาวไม่มาถึง ก็ยากจะรู้จักความเขียวชอุ่มของต้นสนต้นไทร' คืออะไร? (ตอบข้อ 4)
院试4_题目1,"""What is the next sentence of 'A gentleman dies for his Intimate'?""",ประโยคถัดไปของ 'บุรุษยอมตายเพื่อสหายผู้รู้ใจ' คืออะไร? (ตอบข้อ 2)
院试4_题目2,"""What is the next sentence of 'Drain the pond to fish, won't you catch them? But next year there will be no fish'?""",ประโยคถัดไปของ 'ตักน้ำหมดสระเพื่อจับปลา ไม่ใช่ว่าจะจับไม่ได้? แต่ปีหน้าจะไม่มีปลาให้จับ' คืออะไร? (ตอบข้อ 3)
院试4_题目3,"""What is the next sentence of 'Having ten good Horses is not as good as having one Bole'?""",ประโยคถัดไปของ 'แม้นมีม้าชั้นดีกระบี่เลิศ มิประเสริฐเทียบบัณฑิตคิดสร้างสรรค์' คืออะไร? (ตอบข้อ 3)
院试5_题目1,"""What is the next sentence of 'Without indifference, there is no way to clarify your ambition'?""",ประโยคถัดไปของ 'หากมิสมถะ ก็มิอาจแจ้งในปณิธาน' คืออะไร? (ตอบข้อ 1)
院试5_题目2,"""What is the next sentence of 'Under the fragrant bait, there must be a hanging fish'?""",ประโยคถัดไปของ 'ใต้เหยื่อหอมหวาน ย่อมมีปลาติดเบ็ด' คืออะไร? (ตอบข้อ 2)
院试5_题目3,"""What is the next line of 'Three years of good deeds, known by few'?""",ประโยคถัดไปของ 'สะสมความดีสามปี แต่มีคนรู้เห็นน้อย' คืออะไร? (ตอบข้อ 1)
院试1_题目1_答案1,"The sparrow cannot speak to the eagle, for their ambitions differ.",นกกระจอกไม่อาจสนทนากับพญาอินทรีย์ เพราะความมุ่งหมายของพวกเขาต่างกัน
院试1_题目1_答案2,"The mayfly cannot speak to the mountain, for their perspectives differ.",แมลงเม่าไม่อาจสนทนากับภูผาได้ เพราะมุมมองของพวกเขามันต่างกัน
院试1_题目1_答案3,"The summer insect cannot speak to the ice, for they are bound by time.",จั๊กจั่นมิอาจล่วงรู้ถึงเหมันต์ เพราะถูกพันธนาการด้วยฤดูกาล <<<
院试1_题目1_答案4,"The crooked man cannot speak to the Tao, for he is bound by teachings.",คนคดไม่อาจพูดถึงเต๋าได้ เพราะเขาถูกผูกมัดด้วยคำสอน
院试1_题目2_答案1,Another round of 'Brotherhood'.,ขอสุราอีกจอกเถิด พี่น้องร่วมสาบาน
院试1_题目2_答案2,True friends are hard to find.,สหายแท้หายากยิ่งนัก
院试1_题目2_答案3,"Effective learner, one-stop solution.",ใจประสานดั่งเส้นด้ายแห่งโชคชะตา ย่อมรู้ใจกันแม้มิต้องเอ่ยวาจา
院试1_题目2_答案4,"If words are not to the point, it is an abuse.",หากพบพานสหายไม่ถูกคอ เพียงครึ่งคำก็เกินพอจะทนฟัง<<<
院试1_题目3_答案1,"The one who overcomes others is strong, the one who overcomes himself is powerful.",ผู้ชนะผู้อื่นคือผู้มีพละกำลัง แต่ผู้ชนะตนเองคือผู้ที่แข็งแกร่งแท้จริง<<<
院试1_题目3_答案2,"The contented are rich, the ambitious have will.",ผู้ที่พอใจในสิ่งที่มีคือผู้มั่งคั่ง ผู้ที่มีความทะเยอทะยานคือผู้มีเจตจำนง
院试1_题目3_答案3,"Know your enemy, win every battle.",รู้เขารู้เรา รบร้อยครั้ง ชนะร้อยครั้ง
院试1_题目3_答案4,"Those who do not lose their place endure, those who die but do not perish have longevity.",คนสัตย์ซื่อจะอยู่ทรนง แม้สิ้นชีพไม่สิ้นนาม
院试2_题目1_答案1,"Do not boast, thus merit is achieved.",ไม่โอ้อวด จึงจะสำเร็จ
院试2_题目1_答案2,"Only by not contending, can no one in the world contend with you.",เพียงไม่แย่งชิง ก็ไม่มีใครในโลกนี้สามารถแย่งชิงกับเจ้าได้
院试2_题目1_答案3,"Do not be arrogant, thus you will endure.",อย่าหยิ่งผยอง แล้วเจ้าจะอยู่รอด
院试2_题目1_答案4,"Do not be self-righteous, thus you will shine.",ผู้ที่ไม่ยึดตนว่าถูกต้องเสมอ จึงได้รับการยอมรับ <<<
院试2_题目2_答案1,"Days and years pass, such is the passage of time.",วันคืนล่วงผ่านไป ดั่งสายน้ำแห่งกาลเวลา
院试2_题目2_答案2,"Good deeds accumulate to form virtue, and the divine is naturally attained.",สั่งสมความดีจนเป็นคุณธรรม ย่อมได้รับความเมตตาจากเทพเซียน
院试2_题目2_答案3,"Accumulate thickness to create radiance, and your descendants will be shaded.",สั่งสมคุณความดีดุจภูผาสูงส่ง ย่อมเป็นร่มเงาให้ลูกหลานสืบไป
院试2_题目2_答案4,"Accumulate water to form a deep pool, and the dragon will be born there.",น้ำหลากก่อเกิดหุบเหวลึก มังกรเร้นกายย่อมกำเนิด <<<
院试2_题目3_答案1,"Where sincerity is, even metal and stone will open.",จิตใจที่แน่วแน่ดั่งเหล็กกล้า ย่อมทำลายกำแพงหินให้พังทลาย
