﻿BuffInfo_DLC教学特征1,Giant Roll increases Attack and Defense.,เพิ่มการโจมตีและการป้องกันอย่างมาก
guid-1_1_6,"It's terrible, your Iron Head skill has completely broken internally, a few bricks have made you stupid.",แย่แล้ว แย่แล้ว เจ้าคงจะสูญเสียวิชาหัวเหล็กกล้าไปแล้วสินะ แค่อิฐไม่กี่ก้อนก็ทำให้เจ้าโง่ลงเสียแล้ว
guid-1_1_7,"Hey, who are you calling stupid?!\nIf it weren't for your cuteness, I would have been rude to you!","นี่ เจ้าเรียกใครว่าโง่กันน่ะ?!\nถ้าหากไม่เพราะความน่ารักของเจ้า ข้าคงจะไม่ไว้หน้าเจ้าแล้ว!"
guid-1_1_8,"Looking at you, you probably don't even remember your own name, what's wrong, are you not the idiot, or am I?",ดูท่าแล้วเจ้าคงจะจำแม้แต่ชื่อของตนเองไม่ได้ ถ้าไม่เรียกว่าโง่แล้วจะให้เรียกว่าอะไร?
guid-1_1_9,"How could I not remember my own name, I'm called...",ข้าจะจำชื่อตนเองไม่ได้ได้อย่างไร ข้าน่ะชื่อ...
guid-1_2_1,"Oh dear, you didn't forget your own name, there's still hope.",เกือบไปแล้ว ยังดีที่เจ้ายังพอจะจำชื่อตัวเองได้
guid-1_2_2,"Speaking of... who are you, girl?\nI'm not used to having a girl squatting next to me while I'm sleeping.","ว่าแต่....แม่นางเป็น..ใคร?\nข้าไม่ชินกับการที่มีหญิงสาวมานั่งยองข้างๆข้าเวลาที่ข้ากำลังหลับหรอกนะ"
guid-1_2_3,"I'm your lively and cute little junior sister,\nToday is the big day for you to take over as the sect leader, I came to remind you.","ข้าก็คือศิษย์น้องหญิงผู้น่ารักและเลอโฉมของเจ้ายังไงล่ะ\nวันนี้คือวันสำคัญที่เจ้าจะต้องเข้ารับตำแหน่งเจ้าสำนัก ข้าเลยมาเตือน"
guid-1_2_4,"I'm sorry... My mind is a bit muddled as I just woke up. Please don't take it to heart. Since you're my junior sister, we should have a master, right? And, what sect are we from?",ขอโทษที... ข้ายังรู้สึกเมาหัวหลังจากตื่นอยู่เลย ในเมื่อเจ้าเป็นศิษย์น้องหญิงของข้า แปลว่าเราทั้งคู่ควรที่จะมีอาจารย์ใช่ไหม? แล้ว..เรามาจากสำนักอะไรกันล่ะ?
guid-1_2_5,"Our master has gone on a journey around the world. Before he left, he entrusted the sect to you and asked you to give it a powerful name, so we can hold our heads high in the martial world.",ท่านอาจารย์ของเราได้ออกไปท่องยุทธภพแล้วล่ะ แต่ก่อนท่านจะออกเดินทางได้ฝากสำนักไว้กับท่าน และขอให้ท่านเป็นคนแต่งตั้งชื่อที่สุดแสนจะเท่ห์ และเลิศเลอสะท้านไปทั้งยุทธภพ
guid-1_2_6,"It's strange, with my profound Wisdom, I can't figure out what this cheap master is thinking.",ประหลาดนัก! ด้วยปัญญาอันเฉลียวฉลาดของข้า แต่กลับไม่สามารถเข้าถึงความคิดของท่านอาจารย์ได้
guid-1_2_7,"Our master is far-sighted, it's not for us disciples to guess his intentions. You should quickly give our sect a new name. You're going to be the new sect leader.",อาจารย์ของเราเป็นผู้มองการณ์ไกล ศิษย์อย่างเราไม่จำเป็นต้องเข้าใจเจตนาของท่านก็ได้ ท่านควรรีบตั้งชื่อสำนักของเราใหม่ได้แล้ว ในเมื่อท่านกำลังจะกลายเป็นเจ้าสำนักคนใหม่แล้วนะ
guid-1_2_8,The new name of the sect is...,ชื่อของสำนักของเราคือ....
guid-1_3_1,"What a good choice, brother. The new name is indeed catchy and meaningful.",ตั้งได้แจ่มมากศิษย์พี่ ชื่อใหม่นี่มันไฉไลและมีความหมายที่ลึกซึ้งสุดๆ
guid-1_3_2,Please call me Sect Leader Brother!,เรียกข้าว่าศิษย์พี่เจ้าสำนักสิ!
guid-1_3_3,"Yes, greetings Sect Leader Brother~",ค่าา ศิษย์พี่เจ้าสำนัก~
guid-1_3_4,(I've inexplicably traveled through time and become a sect leader. It seems my new life is full of challenges!),(อยู่ดีๆข้าก็ท่องห้วงกาลเวลามาเป็นเจ้าสำนัก เหมือนกับว่าชีวิตใหม่ของข้ากำลังจะเริ่มต้นด้วยสิ่งท้าทายมากมาย)
guid-1_3_5,"I will overcome all obstacles and carry out the master's will to make our sect great, making all the sects in the martial world respect us!",ข้าจะขจัดสิ่งขวางกั้น และทำตามเจตจำนงค์ของท่านอาจารย์เพื่อให้สำนักของเรายิ่งใหญ่ ทำให้ทุกสำนักในใต้หล้าต้องยอมรับให้ได้!
guid-1_3_6,"Now, to make the entire martial world notice our sect, I will lead our sect to take the first step towards dominating the martial world!",ตอนนี้เพื่อจะให้ถึงเป้าหมายนั้น ข้าจะนำพาสำนักของเราเริ่มก้าวแรกเข้าสู่การครองยุทธภพ!
guid-1_3_7,"That's so inspiring! I didn't expect you, Sect Leader Brother, to have such a passionate side. I admire you even more now.",ฟังแล้วตื้นตันอย่างยิ่ง ข้าแทบไม่เชื่อหูตัวเองว่าศิษย์พี่เจ้าสำนักจะมีด้านที่โรแมนติกอย่างนี้อยู่ด้วย ชักจะเลื่อมใสในตัวท่านซะแล้วสิ
guid-1_3_8,"According to this map, there's a Blue Wind Camp not far from our sect. This weak force is perfect for us to establish our authority.",ตามแผนที่นี้ ค่ายวายุครามอยู่ไม่ห่างจากสำนักเรามาก กองกำลังที่อ่อนแอนี้ช่างเหมาะเจาะที่จะเป็นบันได้ก้าวแรกสู่การสร้างชื่อของสำนักเรา
guid-1_3_9,"Junior sister, call all the disciples of our sect and immediately follow me to conquer the Blue Wind Camp!",ศิษย์น้องหญิง เรียกรวมเหล่าศิษย์ทั้งหมดและตามข้าไปบุกยึดค่ายวายุคราม!
guid-1_3_10,"Sect Leader Brother, you're so fierce. You're going to establish your authority by attacking the Blue Wind Camp first. That's so...",ศิษย์พี่เจ้าสำนักท่านช่างดุดันยิ่ง ท่านกำลังจะสร้างชื่อด้วยการโจมตีค่ายวายุครามเป็นอันดับแรก นี่มันช่าง....
guid-1_3_11,"That's so reckless! Wait for me, brother, the Blue Wind Camp is not as weak as you think...",ช่างงี่เง่าสิ้นดี! รอข้าก่อนศิษย์พี่ ค่ายวายุครามไม่ได้อ่อนแออย่างที่ท่านคิดนะ....
guid-2_name,Heal,รักษา
guid-2_log,Click <color=#c44b0e>Heal</color> and choose the main character to heal.,กด <color=#c44b0e>รักษา</color> และเลือกตัวละครหลักที่จะรักษา
guid-2_1_1,"Junior sister, this outcome is a bit different from what I expected...",ศิษย์น้องหญิง... ผลลัพธ์มันช่าง... แตกต่างจากที่ข้าคาดการณ์ไว้ยิ่งนัก!
guid-2_1_2,"Isn't it because you, Sect Leader Brother, overestimated yourself and rushed into their camp, shouting ""I want to fight ten of you!"" and then got beaten up, haha.","ก็เพราะศิษย์พี่เจ้าสำนักนั่นแหละ ประเมินตัวเองสูงเกิน แถมยังทำตัวโฉ่งฉ่าง บุกตะลุยเข้าไปในค่ายคนเถื่อน แล้วตะโกนลั่นว่า ""ข้าขอท้าพวกเจ้าทั้งสิบ!"" สุดท้ายก็โดนรุมยำซะน่วมเลย ฮ่าๆๆๆ"
guid-2_1_3,Our sect is even weaker than the Blue Wind Camp... Who could have guessed that!,สำนักเราอ่อนแอกว่าค่ายวายุครามอีกงั้นรึ... ใครจะไปคิดกัน!
guid-2_1_4,"This grudge must be avenged! Blue Wind Camp, wait until I master my skills, I'll make you pay!",แค้นนี้ต้องชำระ! ค่ายวายุคราม รอข้าฝึกวิทยายุทธ์จนบรรลุก่อนเถอะ ข้าจะกลับมาล้างแค้นให้สาสม!
guid-2_1_5,"Sect Leader Brother, don't rush to make threats. Your handsome face now looks like a pig's head. If you don't heal, it will be swollen for life.",ศิษย์พี่เจ้าสำนัก อย่าเพิ่งรีบร้อนพูดจาข่มขู่เลย ใบหน้าหล่อเหลาของท่านตอนนี้แทบจะไม่ต่างจากหมู ถ้าไม่รีบรักษาคงจะบวมไปตลอดชีวิตแน่
guid-2_1_6,"That won't do, my face is the face of our sect, it's very important.\nJunior sister, help me think of a solution!","เช่นนั้นมิได้ดอก! ใบหน้านี้ช่างสำคัญยิ่ง เป็นถึงหน้าตาของสำนักเราเชียวนะ!\nศิษย์น้องหญิง เจ้าช่วยพี่คิดวิธีแก้หน่อยเถิด!"
guid-2_2_1,"Phew... Finally, I'm handsome again.\nBut why do I feel that my HP and MP haven't recovered to their best state?","ฮู่ววว... ในที่สุดก็หล่อเหลาเหมือนเดิมเสียที \nแต่อืม... เหตุใดข้าจึงรู้สึกว่า พลังลมปราณกับพลังภายในยังไม่ฟื้นฟูถึงขีดสุดนะ"
guid-2_2_2,"As the saying goes, ""Muscle injuries take a hundred days to heal"". Even your cute junior sister can't make you, who is near death, vigorous and lively immediately.",ดั่งคำโบราณว่าไว้ 'บาดแผลกล้ามเนื้อต้องใช้เวลาร้อยวันจึงจะหาย' แม้แต่ศิษย์น้องหญิงร่วมสำนักผู้น่ารักของเจ้าก็ไม่อาจทำให้เจ้าที่ใกล้ม้วยมรณาฟื้นคืนชีพและกระปรี้กระเปร่าได้ในชั่วพริบตา
guid-2_2_3,"Junior sister, you must insist on healing me every day. I really don't like this feeling of being half-dead.",ศิษย์น้องหญิง เจ้าต้องยืนกรานรักษาอาการข้าทุกวัน ข้าไม่ชอบความรู้สึกเหมือนอยู่ในภวังค์ระหว่างความเป็นความตายเช่นนี้เลย
guid-3_name,Recruitment,รับสมัคร
guid-3_log,Increase the number of disciples in the sect to <color=#c44b0e>4</color> through <color=#c44b0e>Recruitment</color>.,เพิ่มจำนวนศิษย์ในสำนักให้ถึง <color=#c44b0e> 4 คน </color> ผ่านการ <color=#c44b0e> รับสมัครผู้ฝึกวิชา </color>
guid-3_1_1,"Junior sister, I'm quite puzzled. Were you just standing by and watching when I was being beaten up by the Mountain Bandits of Blue Wind Camp?",ศิษย์น้องหญิง ข้ารู้สึกสงสัยยิ่งนัก เจ้าเพียงแต่ยืนดูอยู่เฉยๆ ตอนที่ข้าถูกพวกโจรภูเขาจากค่ายวายุคราม รุมซ้อมอย่างนั้นหรือ?
guid-3_1_2,"What else could I do? Should I, a girl, get beaten up with you? In the end, there would be no one to help us heal.",ข้าจะทำเช่นไรได้อีกเล่า? เจ้าอยากให้สตรีน้อยเช่นข้าต้องร่วมชกต่อยกับเจ้าด้วยหรือ? ท้ายที่สุด จะไม่มีเหลือผู้ใดให้ช่วยรักษาบาดแผลของพวกเจ้า
guid-3_1_3,Are there only two of us in our sect?,สำนักมีแค่เราสองคนเท่านั้นเหรอ?
guid-3_1_4,"Yes, I was about to remind the sect leader to recruit more people. Otherwise, now that you've become the sect leader, there's no one to do chores like fetching water and chopping wood.",ใช่ ข้ากำลังจะเตือนศิษย์พี่เจ้าสำนัก เรื่องการรับศิษย์เพิ่มอยู่พอดี บัดนี้ที่ท่านเป็นถึงเจ้าสำนักแล้ว จะไม่มีคนคอยทำงานเล็กๆ น้อยๆ เช่นตักน้ำหรือผ่าฟืนอีก
guid-3_1_5,"If possible, I would like to leave the sect and wander the world right now.\nOur sect is so desolate, how can we recruit people?","หากเป็นไปได้ ข้าปรารถนาจะออกจากสำนักและท่องไปในโลกกว้างในตอนนี้ \nสำนักของเราช่างรกร้างเหลือเกิน เราจะรับสมัครผู้คนได้อย่างไร?"
guid-3_1_6,"With the personal charm of your smart and cute junior sister~\nI'll help you recruit personally, and we'll definitely get talented young talents~","ด้วยเสน่ห์อันล้ำเลิศของศิษย์น้องหญิงผู้เฉลียวฉลาดและน่ารักของท่าน~\nข้าจะช่วยท่านคัดสรรศิษย์ด้วยตนเอง รับรองว่าจะได้ยอดฝีมือรุ่นเยาว์มาอย่างแน่นอน~"
guid-4_name,Promote Disciple,เลื่อนขั้นลูกศิษย์
guid-4_log,"Promote any disciple through the <color=#c44b0e>Management</color> function, or directly enter the next round.",เลื่อนขั้นศิษย์คนใดก็ได้ผ่านระบบ <color=#c44b0e>บริหารสำนัก</color> หรือเข้าสู่รอบถัดไป
guid-4_1_1,"Junior sister, why do I find that the money in the sect has suddenly decreased?",ศิษย์น้องหญิง เหตุใดข้าจึงพบว่าเงินทองในคลังสำนักลดลงอย่างฉับพลันเช่นนี้?
guid-4_1_2,"Just recruited a few disciples, did the head brother forget?\nNot only is the <color=#c44b0e>recruitment cost</color> high for capable people, but they also require a hefty salary every month.","พวกเราเพิ่งรับศิษย์ใหม่สองคนเข้าสำนัก ศิษย์พี่เจ้าสำนักท่านลืมไปแล้วหรือ?\nยอดฝีมือนั้นนอกจากจะมี <color=#c44b0e>ค่าใช้จ่ายในการรับเข้าสำนัก</color> ที่สูงลิ่วแล้ว ยังต้องจ่ายค่าตอบแทนรายเดือนจำนวนมากอีกด้วย"
guid-4_1_3,"I thought with your charm, junior sister, you could gather a crowd with a single call. I didn't expect that we still need to spend money in the end.",ข้านึกว่าด้วยเสน่ห์ของศิษย์น้องหญิง เพียงเอ่ยปากเรียกก็จะมีผู้คนหลั่งไหลมาสมัครเป็นศิษย์เสียอีก ไม่คาดคิดว่าท้ายที่สุดแล้วพวกเราก็ยังต้องสิ้นเปลืองเงินทองอยู่ดี
guid-4_1_4,"If you want to recruit people, don't be afraid to spend money. If the treatment is not good, why would people follow you? Is it because of your self-righteous handsome face?",หากต้องการรับคนเข้าสำนัก อย่าได้กลัวการใช้จ่าย หากไม่ให้ผลตอบแทนที่ดี ผู้ใดเล่าจะยอมติดตามพวกเจ้า? หรือว่าพวกเจ้าคิดว่าโฉมหน้าอันงดงามที่เจ้าหลงตัวเองนักหนานั้นจะดึงดูดผู้คนได้?
guid-4_1_5,"I hope the spending can come to an end, otherwise if this continues, I, the new sect leader, can only declare bankruptcy and close the sect.",ข้าหวังว่าการใช้จ่ายนี้จะสิ้นสุดลงเสียที มิเช่นนั้นหากยังคงเป็นเช่นนี้ต่อไป ข้าผู้เป็นเจ้าสำนักคนใหม่คงต้องประกาศล้มละลายและปิดสำนักเสียแล้ว
guid-4_1_6,"Oh, this is far from enough. For such talented disciples, I suggest <color=#c44b0e>promoting</color> them to more promising inner disciples. Although the monthly expenditure is slightly higher, it can maximize the growth limit, which is very cost-effective in the long run!",โอ้ย นี่มันยังไม่เพียงพอ สำหรับศิษย์ที่มีพรสวรรค์เช่นนี้ ข้าแนะนำ <color=#c44b0e>ให้เลื่อนขั้น</color>พวกเขาเป็นศิษย์ในที่มีอนาคตไกล แม้ว่าค่าใช้จ่ายรายเดือนจะสูงขึ้นเล็กน้อย แต่มันสามารถเพิ่มขีดจำกัดการเติบโตได้สูงสุด ซึ่งคุ้มค่าในระยะยาว!
guid-4_1_7,Spending money again... My heart aches...,เสียเงินอีกแล้ว... ข้าปวดใจ...
guid-4_1_8,"If the sect leader doesn't know which disciple to promote for a while, why not <color=#c44b0e>promote</color> your cutest junior sister first? I'm your most staunch supporter~",หากศิษย์พี่เจ้าสำนักไม่รู้ จะเลื่อนขั้นศิษย์คนใดในช่วงนี้ ทำไมไม่ <color=#c44b0e>เลื่อนขั้น</color> ให้ศิษย์น้องหญิงที่น่ารักที่สุดของท่านก่อนล่ะ? ข้าเป็นผู้สนับสนุนที่มั่นคงที่สุดของท่าน~
guid-5_name,Learn,ฝึกฝน
guid-5_log,Improve the martial arts skills of the disciples through <color=#c44b0e>Learning</color> or directly enter the next round.,พัฒนาวรยุทธ์ของศิษย์ผ่าน <color=#c44b0e>ฝึกฝน</color> หรือ เข้าสู่รอบต่อไป
guid-5_1_1,"You, the new guy, come and practice with me, the sect leader, so I can train you well.",ศิษย์ใหม่ เจ้ามาฝึกกับข้าเจ้าสำนัก เพื่อที่ข้าจะได้ฝึกฝนเจ้าให้เก่งกล้าขึ้น
guid-5_1_2,"Sect leader, no! My wounds from yesterday haven't healed yet, ah...",เจ้าสำนัก ไม่! บาดแผลจากเมื่อวานของข้ายังไม่หายเลย อาา…
guid-5_1_3,"Hey! I haven't even made a move yet, how come you've already fallen? I, the sect leader, am truly invincible, haha!",เฮ้! ข้ายังไม่ได้ลงมือเลย ทำไมเจ้าถึงล้มไปซะแล้ว? ข้าเจ้าสำนัก ช่างไร้เทียมทานจริงๆ ฮ่าๆ!
guid-5_1_4,"Senior brother, is it fun to bully the weak?",ศิษย์พี่ใหญ่ การรังแกผู้อ่อนแอมันสนุกนักหรือ?
guid-5_1_5,"Junior sister, you misunderstood, I'm just guiding their martial arts!",ศิษย์น้องหญิง เจ้าเข้าใจผิดแล้ว ข้าเพียงแค่ชี้แนะวรยุทธ์ให้พวกเขาเท่านั้น!
guid-5_1_6,So the way the sect leader guides others in martial arts is to beat them up without letting them fight back?,วิธีที่เจ้าสำนักชี้แนะวรยุทธ์ให้ผู้อื่น คือการทุบตีพวกเขาโดยไม่ให้พวกเขาสู้กลับหรือ?
guid-5_1_7,Then... how should I improve their martial arts skills?,เช่นนั้น… ข้าควรพัฒนาวรยุทธ์ของพวกเขาอย่างไร?
guid-5_1_8,"Of course, let them consume resources in the sect's training room to learn on their own. As the saying goes, it's better to teach a man to fish than to give him a fish. Being their strong support is much better than spoiling them by helping too much!",แน่นอน ให้พวกเขาใช้ทรัพยากรในห้องฝึกของสำนัก เพื่อฝึกฝนด้วยตนเอง ตามคำกล่าวที่ว่า สอนให้จับปลา ดีกว่าให้ปลา การสนับสนุนให้พวกเขาแข็งแกร่ง ย่อมดีกว่าการช่วยเหลือเขามากเกินไป!
guid-5_1_9,"Junior sister, you know how poor our sect is. If we keep training like this, we'll probably go bankrupt... Is there a free, completely free way?",ศิษย์น้องหญิง เจ้าก็รู้ว่าสำนักของเรายากจนเพียงใด หากเราฝึกฝนเช่นนี้ต่อไป เราอาจล้มละลายได้… มีวิธีที่ฟรีและไม่เสียค่าใช้จ่ายบ้างไหม?
guid-5_1_10,"If you want it for free, of course there is. It depends on whether you, senior brother, are willing.",หากเจ้าต้องการสิ่งนี้โดยไม่ต้องแลกเปลี่ยนสิ่งใด ก็ย่อมเป็นไปได้ ขึ้นอยู่ว่าพี่ใหญ่จะเต็มใจให้หรือไม่
guid-5_1_11,"Hey, for the development of our sect, there's nothing I, the sect leader, am unwilling to do. Speak up!",เพื่อการพัฒนาของสำนักเรา ข้าในฐานะเจ้าสำนัก ไม่มีสิ่งใดที่ข้าไม่เต็มใจทำ พูดมาเถอะ!
guid-5_1_12,"There's a wooden dummy outside. Senior brother, you first tie yourself to it, and I'll go call the disciples to line up.",ข้างนอกมีท่อนไม้อยู่ ท่านพี่ไปผูกตัวเองไว้ที่นั่นก่อนเถอะ ข้าจะไปเรียกเหล่าศิษย์มาเรียงแถว
guid-5_1_13,"Then let them use me as a human punching bag, right?",ให้พวกเขาใช้ข้าเป็นกระสอบทรายมนุษย์ใช่ไหม?
guid-5_1_14,"Hehe, who made you, senior brother, so selfless and dedicated~",ฮ่าๆ ใครจะกล้าทำท่าน ศิษย์พี่ของเรา ช่างเสียสละและทุ่มเทเช่นนี้~
guid-6_name,Defend,ป้องกัน
guid-6_log,Block the onslaught of Blue Wind Camp through the <color=#c44b0e>Attack</color> function.,ต้านทานการโจมตีของค่ายวายุครามผ่านฟังก์ชัน  <color=#c44b0e>โจมตี</color>
guid-6_1_1,"Sect leader senior brother, something terrible has happened!",ศิษย์พี่เจ้าสำนัก มีเรื่องร้ายแรงเกิดขึ้นแล้ว!
guid-6_1_2,"Do you remember the embarrassing incident last time when you tried to show off against Blue Wind Camp but ended up being beaten up? This time they are coming at us with great momentum, probably intending to destroy your prestige and boost their morale.",ท่านยังจำเหตุการณ์น่าอับอายครั้งก่อน ที่ท่านพยายามอวดฝีมือกับค่ายวายุคราม แต่กลับถูกพวกเขาโจมตีจนพ่ายแพ้ได้หรือไม่? ครั้งนี้พวกเขามาอย่างมั่นใจเต็มเปี่ยม คงตั้งใจจะทำลายเกียรติยศของท่าน และเพิ่มขวัญกำลังใจของพวกเขาเอง
guid-6_1_3,"I'll go change my clothes, junior sister, you quickly pack up, we'll take the back mountain path, if we don't run now, it'll be too late!",ข้าจะไปเปลี่ยนเสื้อผ้าก่อน ศิษย์น้องหญิงเจ้ารีบเก็บของเถอะ เราจะใช้เส้นทางหลังภูเขา หากไม่รีบหนีตอนนี้จะสายเกินไป!
guid-6_1_4,"Senior brother, as the sect leader, you're too cowardly.",ศิษย์พี่ใหญ่ ท่านเป็นเจ้าสำนัก แต่กลับขี้ขลาดเกินไป
guid-6_1_5,"My peerless martial arts are not yet accomplished, if I don't leave now, I'll get beaten up again, I don't want to have nightmares again.",วรยุทธ์ไร้เทียมทานของข้ายังไม่สมบูรณ์ หากไม่รีบหนีตอนนี้ ข้าจะถูกตีอีกครั้ง ข้าไม่อยากฝันร้ายอีกแล้ว
guid-6_1_6,"Don't panic, senior brother! The small animals I've been taming in the back mountain can finally come in handy. When the people from Blue Wind Camp come, they'll have a hard time!",อย่าตื่นตระหนกไปเลย ศิษย์พี่ใหญ่! สัตว์เล็กๆ ที่ข้าเลี้ยงไว้ที่หลังภูเขา ในที่สุดก็ได้ใช้ประโยชน์แล้ว เมื่อคนจากค่ายวายุครามมา พวกเขาจะต้องเจอปัญหาแน่นอน!
guid-6_1_7,"The small animals in the back mountain, aren't they just a bunch of chicks? They're more like midnight snacks for others, are you planning to stuff them to death... Junior sister, I bid you farewell, we'll meet again in the future——",สัตว์เล็กสัตว์น้อยบนภูเขานั่นน่ะหรือ? ก็แค่ลูกไก่ตัวจิ๋วให้สัตว์อื่นมันคาบไปกินเล่น! เจ้าจะไปเลี้ยงมันให้พุงป่องตายไปทำไมกันเล่า... น้องหญิงเอ๋ย ข้าขอลาไปก่อนนะ แล้วเราค่อยมาพบกันใหม่
guid-6_1_8,"Who dares to block my way, don't blame me for being rude!",ผู้ใดกล้าขวางทางข้า อย่าหาว่าข้าไม่เกรงใจ!
guid-6_1_9,"Cluck cluck, cluck cluck cluck...","กุ๊ก กุ๊ก, กุ๊ก กุ๊ก กุ๊ก..."
guid-6_1_10,What a move... genuine... chicken claw skill...,ช่างเป็นการเคลื่อนไหวที่น่าทึ่ง… แค่กรงเล็บไก่แท้ ๆ…
guid-6_1_11,"Senior brother, why are you back? I thought we were never going to meet again~",ศิษย์พี่ใหญ่ ทำไมท่านกลับมาอีก? ข้านึกว่าเราจะไม่ได้พบกันอีกแล้ว~
guid-6_1_12,"Junior sister, you won't believe it... I was beaten by a chicken...",ศิษย์น้องหญิง เจ้าคงไม่เชื่อ… ข้าถูกไก่ตี…
guid-6_1_13,"Hmph, this is called don't judge a chicken by its appearance!",ฮึ่ม นี่แหละที่เรียกว่า อย่าตัดสินไก่จากรูปลักษณ์ภายนอก!
guid-6_1_14,"Hey, did we take a wrong turn...",เฮ้ เราเลี้ยวผิดทางหรือเปล่า…
guid-6_1_15,"How could it be, I know this road very well, Li Erniu showed me this place when he mortgaged his courtyard.",เป็นไปไม่ได้ ข้าคุ้นเคยกับเส้นทางนี้มาก ตอนที่หลี่เอ้อร์หนิวเอาที่ดินบ้านของเขามาจำนอง เขายังพาข้ามาดูที่นี่เป็นพิเศษเลย!
guid-6_1_16,"Look, isn't it right in front of us? This courtyard will soon belong to our Blue Wind Camp.",ดูสิ เห็นหรือไม่? ลานกว้างเบื้องหน้าตรงนี้ ไม่ช้าก็จะตกเป็นของค่ายวายุครามของเราแล้ว
guid-6_1_17,"Li Erniu, pay your debts! If you can't pay today, your courtyard will be used to offset the debt!","หลี่เอ้อร์หนิว, จ่ายหนึ้ของเจ้ามาซะ!! ถ้าเจ้าไม่จ่ายภายในวันนี้ ข้าจะเอาที่ดินของเจ้าไปชำระหนี้แทน!!"
guid-6_1_18,"Who's making such a racket in front of someone else's house early in the morning, who's so lacking in public morals?",ใครกันหนอมาสร้างความวุ่นวายหน้าบ้านผู้อื่นแต่เช้าตรู่เช่นนี้ เห็นแก่ตัวไม่รู้จักผิดชอบชั่วดี!
guid-6_1_19,"Have you heard of the famous Blue Wind Camp? If Li Erniu doesn't pay up today, this place will become the property of Blue Wind Camp.",เจ้าเคยได้ยินเกี่ยวกับค่ายวายุครามหรือไม่? ถ้าหลี่เอ้อร์หนิว ไม่จ่ายหนี้ภายในวันนี้ สถานที่แห่งนี้จะกลายเป็นของค่ายวายุคราม
guid-6_1_20,What does it matter to me whether Li Erniu or Li Daniu pays back the money!,อะไรนะ? หลี่เอ้อร์หนิว หลี่ต้าเหนียวอะไรก็ช่าง มันจะคืนเงินหรือไม่เกี่ยวอะไรกับข้าด้วย!
guid-6_1_21,"Sect leader senior brother, our master... his name is Li Erniu.",ศิษย์พี่เจ้าสำนัก สำนักของเราน่ะ... ท่านอาจารย์ของพวกเรา ก็ชื่อหลี่เอ้อร์หนิว!
guid-6_1_22,No wonder this name sounds so honest and simple. I really don't understand how he could have provoked Blue Wind Camp. Did he impulsively challenge them like me?,"ไม่แปลกใจเลยที่ชื่อนี้ฟังดูซื่อๆ ขนาดนี้ ไม่เข้าใจจริงๆ ว่าเขาไปยั่วโมโหพวกค่ายวายุครามได้ยังไง หรือว่าจะพลั้งปากท้าทายไปอย่างที่ข้าทำไปนี่?"""
guid-6_1_23,"Your master borrowed a huge sum of money from our Blue Wind Camp a few days ago, using this courtyard as collateral.",มื่อไม่กี่วันมานี้เอง เจ้าสำนักของท่านได้กู้เงินจำนวนมหาศาลจากค่ายวายุครามของเรา โดยใช้สวนหลังบ้านแห่งนี้เป็นหลักทรัพย์ค้ำประกัน
guid-6_1_24,"Damn... So this cheap master of mine claimed to go on a journey, but actually ran away with the money...",เวรเอ้ย.... เจ้าสำนักขี้งกอ้างว่าจะออกเดินทาง แต่ที่จริงแล้วหนีไปกับเงินทองนั่นเอง...
